Date,Open,High,Low,Close
08/23/2010,"1,403.15","1,403.15","1,403.15","1,403.15"
08/20/2010,"1,395.02","1,395.02","1,395.02","1,395.02"
08/19/2010,"1,392.56","1,392.56","1,392.56","1,392.56"
08/18/2010,"1,385.51","1,385.51","1,385.51","1,385.51"
08/17/2010,"1,378.47","1,378.47","1,378.47","1,378.47"
08/16/2010,"1,370.58","1,370.58","1,370.58","1,370.58"
08/13/2010,"1,360.15","1,360.15","1,360.15","1,360.15"
08/12/2010,"1,349.33","1,349.33","1,349.33","1,349.33"
08/11/2010,"1,352.91","1,352.91","1,352.91","1,352.91"
08/10/2010,"1,359.71","1,359.71","1,359.71","1,359.71"
08/09/2010,"1,360.66","1,360.66","1,360.66","1,360.66"
08/06/2010,"1,360.45","1,360.45","1,360.45","1,360.45"
08/05/2010,"1,362.08","1,362.08","1,362.08","1,362.08"
08/04/2010,"1,362.74","1,362.74","1,362.74","1,362.74"
08/03/2010,"1,363.83","1,363.83","1,363.83","1,363.83"
08/02/2010,"1,363.60","1,363.60","1,363.60","1,363.60"
07/30/2010,"1,360.92","1,360.92","1,360.92","1,360.92"
07/29/2010,"1,358.41","1,358.41","1,358.41","1,358.41"
07/28/2010,"1,355.19","1,355.19","1,355.19","1,355.19"
07/27/2010,"1,352.23","1,352.23","1,352.23","1,352.23"
07/26/2010,"1,351.82","1,351.82","1,351.82","1,351.82"
07/23/2010,"1,345.68","1,345.68","1,345.68","1,345.68"
07/22/2010,"1,336.05","1,336.05","1,336.05","1,336.05"
07/21/2010,"1,341.02","1,341.02","1,341.02","1,341.02"
07/20/2010,"1,337.67","1,337.67","1,337.67","1,337.67"
07/19/2010,"1,333.35","1,333.35","1,333.35","1,333.35"
07/16/2010,"1,336.65","1,336.65","1,336.65","1,336.65"
07/15/2010,"1,334.08","1,334.08","1,334.08","1,334.08"
07/14/2010,"1,341.08","1,341.08","1,341.08","1,341.08"
07/13/2010,"1,332.87","1,332.87","1,332.87","1,332.87"
07/12/2010,"1,326.74","1,326.74","1,326.74","1,326.74"
07/09/2010,"1,324.31","1,324.31","1,324.31","1,324.31"
07/08/2010,"1,316.03","1,316.03","1,316.03","1,316.03"
07/07/2010,"1,311.75","1,311.75","1,311.75","1,311.75"
07/06/2010,"1,307.08","1,307.08","1,307.08","1,307.08"
07/05/2010,"1,299.50","1,299.50","1,299.50","1,299.50"
07/02/2010,"1,307.44","1,307.44","1,307.44","1,307.44"
07/01/2010,"1,308.76","1,308.76","1,308.76","1,308.76"
06/30/2010,"1,314.02","1,314.02","1,314.02","1,314.02"
06/29/2010,"1,319.84","1,319.84","1,319.84","1,319.84"
06/28/2010,"1,325.54","1,325.54","1,325.54","1,325.54"
06/25/2010,"1,326.45","1,326.45","1,326.45","1,326.45"
06/24/2010,"1,325.87","1,325.87","1,325.87","1,325.87"
06/23/2010,"1,329.70","1,329.70","1,329.70","1,329.70"
06/22/2010,"1,323.44","1,323.44","1,323.44","1,323.44"
06/21/2010,"1,335.29","1,335.29","1,335.29","1,335.29"
06/18/2010,"1,317.69","1,317.69","1,317.69","1,317.69"
06/17/2010,"1,304.47","1,304.47","1,304.47","1,304.47"
06/16/2010,"1,303.13","1,303.13","1,303.13","1,303.13"
06/15/2010,"1,298.37","1,298.37","1,298.37","1,298.37"
06/14/2010,"1,297.16","1,297.16","1,297.16","1,297.16"
06/11/2010,"1,294.67","1,294.67","1,294.67","1,294.67"
06/10/2010,"1,291.31","1,291.31","1,291.31","1,291.31"
06/09/2010,"1,290.08","1,290.08","1,290.08","1,290.08"
06/08/2010,"1,288.18","1,288.18","1,288.18","1,288.18"
06/07/2010,"1,286.27","1,286.27","1,286.27","1,286.27"
06/04/2010,"1,294.39","1,294.39","1,294.39","1,294.39"
06/03/2010,"1,294.44","1,294.44","1,294.44","1,294.44"
06/02/2010,"1,276.02","1,276.02","1,276.02","1,276.02"
06/01/2010,"1,282.97","1,282.97","1,282.97","1,282.97"
05/31/2010,"1,285.01","1,285.01","1,285.01","1,285.01"
05/28/2010,"1,269.16","1,269.16","1,269.16","1,269.16"
05/27/2010,"1,269.16","1,269.16","1,269.16","1,269.16"
05/26/2010,"1,248.94","1,248.94","1,248.94","1,248.94"
05/25/2010,"1,250.13","1,250.13","1,250.13","1,250.13"
05/24/2010,"1,273.69","1,273.69","1,273.69","1,273.69"
05/21/2010,"1,285.73","1,285.73","1,285.73","1,285.73"
05/20/2010,"1,304.16","1,304.16","1,304.16","1,304.16"
05/19/2010,"1,308.23","1,308.23","1,308.23","1,308.23"
05/18/2010,"1,330.17","1,330.17","1,330.17","1,330.17"
05/17/2010,"1,334.27","1,334.27","1,334.27","1,334.27"
05/14/2010,"1,339.30","1,339.30","1,339.30","1,339.30"
05/13/2010,"1,346.92","1,346.92","1,346.92","1,346.92"
05/12/2010,"1,344.10","1,344.10","1,344.10","1,344.10"
05/11/2010,"1,340.72","1,340.72","1,340.72","1,340.72"
05/10/2010,"1,333.97","1,333.97","1,333.97","1,333.97"
05/07/2010,"1,332.89","1,332.89","1,332.89","1,332.89"
05/06/2010,"1,331.87","1,331.87","1,331.87","1,331.87"
05/05/2010,"1,335.65","1,335.65","1,335.65","1,335.65"
05/04/2010,"1,342.89","1,342.89","1,342.89","1,342.89"
05/03/2010,"1,346.89","1,346.89","1,346.89","1,346.89"
04/30/2010,"1,346.38","1,346.38","1,346.38","1,346.38"
04/29/2010,"1,335.86","1,335.86","1,335.86","1,335.86"
04/28/2010,"1,333.17","1,333.17","1,333.17","1,333.17"
04/27/2010,"1,339.72","1,339.72","1,339.72","1,339.72"
04/26/2010,"1,340.07","1,340.07","1,340.07","1,340.07"
04/23/2010,"1,336.78","1,336.78","1,336.78","1,336.78"
04/22/2010,"1,337.01","1,337.01","1,337.01","1,337.01"
04/21/2010,"1,333.64","1,333.64","1,333.64","1,333.64"
04/20/2010,"1,335.90","1,335.90","1,335.90","1,335.90"
04/19/2010,"1,326.67","1,326.67","1,326.67","1,326.67"
04/16/2010,"1,332.77","1,332.77","1,332.77","1,332.77"
04/15/2010,"1,338.83","1,338.83","1,338.83","1,338.83"
04/14/2010,"1,335.89","1,335.89","1,335.89","1,335.89"
04/13/2010,"1,334.52","1,334.52","1,334.52","1,334.52"
04/12/2010,"1,339.61","1,339.61","1,339.61","1,339.61"
04/09/2010,"1,333.98","1,333.98","1,333.98","1,333.98"
04/08/2010,"1,332.93","1,332.93","1,332.93","1,332.93"
04/07/2010,"1,345.09","1,345.09","1,345.09","1,345.09"
04/06/2010,"1,344.37","1,344.37","1,344.37","1,344.37"
04/05/2010,"1,341.75","1,341.75","1,341.75","1,341.75"
04/02/2010,"1,335.94","1,335.94","1,335.94","1,335.94"
04/01/2010,"1,329.84","1,329.84","1,329.84","1,329.84"
03/31/2010,"1,320.57","1,320.57","1,320.57","1,320.57"
03/30/2010,"1,319.35","1,319.35","1,319.35","1,319.35"
03/29/2010,"1,319.21","1,319.21","1,319.21","1,319.21"
03/26/2010,"1,315.14","1,315.14","1,315.14","1,315.14"
03/25/2010,"1,312.48","1,312.48","1,312.48","1,312.48"
03/24/2010,"1,309.45","1,309.45","1,309.45","1,309.45"
03/23/2010,"1,304.85","1,304.85","1,304.85","1,304.85"
03/22/2010,"1,293.65","1,293.65","1,293.65","1,293.65"
03/19/2010,"1,296.60","1,296.60","1,296.60","1,296.60"
03/18/2010,"1,301.94","1,301.94","1,301.94","1,301.94"
03/17/2010,"1,301.95","1,301.95","1,301.95","1,301.95"
03/16/2010,"1,298.86","1,298.86","1,298.86","1,298.86"
03/15/2010,"1,299.67","1,299.67","1,299.67","1,299.67"
03/12/2010,"1,311.20","1,311.20","1,311.20","1,311.20"
03/11/2010,"1,321.43","1,321.43","1,321.43","1,321.43"
03/10/2010,"1,328.22","1,328.22","1,328.22","1,328.22"
03/09/2010,"1,317.94","1,317.94","1,317.94","1,317.94"
03/08/2010,"1,324.22","1,324.22","1,324.22","1,324.22"
03/05/2010,"1,299.78","1,299.78","1,299.78","1,299.78"
03/04/2010,"1,284.09","1,284.09","1,284.09","1,284.09"
03/03/2010,"1,286.10","1,286.10","1,286.10","1,286.10"
03/02/2010,"1,288.07","1,288.07","1,288.07","1,288.07"
03/01/2010,"1,283.40","1,283.40","1,283.40","1,283.40"
02/26/2010,"1,270.78","1,270.78","1,270.78","1,270.78"
02/25/2010,"1,270.78","1,270.78","1,270.78","1,270.78"
02/24/2010,"1,270.78","1,270.78","1,270.78","1,270.78"
02/23/2010,"1,266.43","1,266.43","1,266.43","1,266.43"
02/22/2010,"1,266.44","1,266.44","1,266.44","1,266.44"
02/19/2010,"1,257.67","1,257.67","1,257.67","1,257.67"
02/18/2010,"1,259.00","1,259.00","1,259.00","1,259.00"
02/17/2010,"1,259.07","1,259.07","1,259.07","1,259.07"
02/16/2010,"1,253.39","1,253.39","1,253.39","1,253.39"
02/12/2010,"1,253.39","1,253.39","1,253.39","1,253.39"
02/11/2010,"1,249.42","1,249.42","1,249.42","1,249.42"
02/10/2010,"1,246.17","1,246.17","1,246.17","1,246.17"
02/09/2010,"1,233.86","1,233.86","1,233.86","1,233.86"
02/08/2010,"1,235.22","1,235.22","1,235.22","1,235.22"
02/05/2010,"1,247.90","1,247.90","1,247.90","1,247.90"
02/04/2010,"1,265.03","1,265.03","1,265.03","1,265.03"
02/03/2010,"1,267.15","1,267.15","1,267.15","1,267.15"
02/02/2010,"1,263.76","1,263.76","1,263.76","1,263.76"
02/01/2010,"1,259.16","1,259.16","1,259.16","1,259.16"
01/29/2010,"1,259.16","1,259.16","1,259.16","1,259.16"
01/28/2010,"1,264.51","1,264.51","1,264.51","1,264.51"
01/27/2010,"1,265.77","1,265.77","1,265.77","1,265.77"
01/26/2010,"1,283.02","1,283.02","1,283.02","1,283.02"
01/25/2010,"1,296.79","1,296.79","1,296.79","1,296.79"
01/22/2010,"1,300.45","1,300.45","1,300.45","1,300.45"
01/21/2010,"1,308.36","1,308.36","1,308.36","1,308.36"
01/20/2010,"1,306.62","1,306.62","1,306.62","1,306.62"
01/19/2010,"1,300.35","1,300.35","1,300.35","1,300.35"
01/18/2010,"1,297.99","1,297.99","1,297.99","1,297.99"
01/15/2010,"1,298.58","1,298.58","1,298.58","1,298.58"
01/14/2010,"1,294.71","1,294.71","1,294.71","1,294.71"
01/13/2010,"1,289.51","1,289.51","1,289.51","1,289.51"
01/12/2010,"1,292.85","1,292.85","1,292.85","1,292.85"
01/11/2010,"1,294.51","1,294.51","1,294.51","1,294.51"
01/08/2010,"1,292.98","1,292.98","1,292.98","1,292.98"
01/07/2010,"1,291.42","1,291.42","1,291.42","1,291.42"
01/06/2010,"1,293.17","1,293.17","1,293.17","1,293.17"
01/05/2010,"1,288.24","1,288.24","1,288.24","1,288.24"
01/04/2010,"1,275.75","1,275.75","1,275.75","1,275.75"
12/31/2009,"1,272.78","1,272.78","1,272.78","1,272.78"
12/30/2009,"1,271.12","1,271.12","1,271.12","1,271.12"
12/29/2009,"1,275.22","1,275.22","1,275.22","1,275.22"
