Date,Open,High,Low,Close
08/27/2007,"1,282.94","1,292.20","1,274.33","1,278.27"
08/24/2007,"1,280.13","1,280.13","1,261.38","1,273.52"
08/23/2007,"1,270.95","1,284.88","1,270.95","1,283.62"
08/22/2007,"1,232.86","1,255.39","1,232.82","1,255.39"
08/21/2007,"1,247.61","1,251.02","1,227.88","1,231.48"
08/20/2007,"1,219.41","1,245.11","1,219.41","1,243.39"
08/17/2007,"1,204.41","1,218.82","1,141.56","1,191.55"
08/16/2007,"1,239.80","1,239.80","1,202.90","1,207.61"
08/15/2007,"1,277.01","1,277.01","1,247.31","1,251.82"
08/14/2007,"1,288.48","1,297.36","1,286.78","1,288.34"
08/13/2007,"1,300.58","1,305.17","1,287.28","1,296.48"
08/10/2007,"1,291.05","1,292.58","1,275.13","1,287.70"
08/09/2007,"1,316.31","1,324.68","1,312.65","1,313.39"
08/08/2007,"1,292.87","1,309.48","1,292.87","1,307.17"
08/07/2007,"1,303.08","1,315.72","1,286.54","1,290.13"
08/06/2007,"1,321.71","1,321.71","1,290.90","1,290.90"
08/03/2007,"1,343.25","1,350.09","1,333.40","1,335.42"
08/02/2007,"1,349.20","1,357.65","1,323.76","1,333.28"
08/01/2007,"1,367.29","1,367.29","1,327.71","1,339.49"
07/31/2007,"1,356.27","1,374.55","1,356.27","1,373.71"
07/30/2007,"1,349.27","1,359.92","1,343.73","1,352.41"
07/27/2007,"1,360.65","1,361.70","1,347.95","1,355.38"
07/26/2007,"1,383.28","1,389.07","1,375.45","1,381.50"
07/25/2007,"1,386.67","1,388.72","1,379.33","1,379.73"
07/24/2007,"1,385.77","1,392.18","1,385.77","1,392.18"
07/23/2007,"1,381.34","1,389.20","1,378.05","1,381.53"
07/20/2007,"1,377.89","1,385.54","1,377.89","1,382.36"
07/19/2007,"1,372.81","1,378.15","1,370.52","1,376.40"
07/18/2007,"1,379.73","1,383.50","1,369.23","1,369.23"
07/17/2007,"1,378.94","1,385.05","1,373.05","1,377.48"
07/16/2007,"1,385.25","1,388.31","1,376.03","1,381.51"
07/13/2007,"1,380.48","1,384.72","1,376.63","1,384.72"
07/12/2007,"1,362.95","1,374.57","1,362.95","1,366.02"
07/11/2007,"1,367.42","1,367.42","1,358.87","1,359.27"
07/10/2007,"1,378.15","1,381.32","1,366.99","1,371.45"
07/09/2007,"1,376.21","1,380.49","1,373.60","1,378.69"
07/06/2007,"1,368.82","1,375.64","1,367.80","1,373.84"
07/05/2007,"1,375.87","1,377.33","1,365.47","1,369.30"
07/04/2007,"1,375.06","1,383.22","1,374.89","1,377.14"
07/03/2007,"1,367.51","1,373.50","1,366.87","1,373.14"
07/02/2007,"1,357.78","1,365.33","1,357.57","1,364.37"
06/29/2007,"1,351.24","1,357.36","1,348.95","1,354.38"
06/28/2007,"1,357.80","1,361.93","1,347.50","1,350.72"
06/27/2007,"1,365.26","1,366.20","1,352.74","1,357.43"
06/26/2007,"1,377.26","1,380.50","1,363.90","1,366.99"
06/25/2007,"1,388.00","1,389.69","1,374.65","1,377.13"
06/22/2007,"1,384.31","1,391.57","1,382.26","1,391.57"
06/21/2007,"1,383.40","1,391.41","1,382.74","1,387.96"
06/20/2007,"1,377.88","1,386.27","1,377.34","1,386.27"
06/19/2007,"1,371.98","1,377.50","1,371.03","1,376.79"
06/18/2007,"1,363.21","1,372.28","1,363.21","1,372.28"
06/15/2007,"1,360.55","1,362.58","1,355.76","1,360.65"
06/14/2007,"1,356.49","1,362.25","1,353.89","1,357.18"
06/13/2007,"1,356.74","1,359.78","1,353.03","1,353.03"
06/12/2007,"1,358.55","1,361.30","1,355.68","1,360.58"
06/11/2007,"1,360.66","1,367.94","1,357.05","1,357.66"
06/08/2007,"1,357.63","1,359.18","1,351.38","1,352.39"
06/07/2007,"1,366.30","1,367.01","1,359.09","1,364.41"
