Date,Open,High,Low,Close
08/24/2009,"1,174.49","1,174.49","1,174.49","1,174.49"
08/21/2009,"1,163.79","1,163.79","1,163.79","1,163.79"
08/20/2009,"1,163.43","1,163.43","1,163.43","1,163.43"
08/19/2009,"1,155.53","1,155.53","1,155.53","1,155.53"
08/18/2009,"1,164.41","1,164.41","1,164.41","1,164.41"
08/17/2009,"1,169.05","1,169.05","1,169.05","1,169.05"
08/14/2009,"1,188.57","1,188.57","1,188.57","1,188.57"
08/13/2009,"1,186.19","1,186.19","1,186.19","1,186.19"
08/12/2009,"1,180.54","1,180.54","1,180.54","1,180.54"
08/11/2009,"1,186.28","1,186.28","1,186.28","1,186.28"
08/10/2009,"1,188.00","1,188.00","1,188.00","1,188.00"
08/07/2009,"1,184.88","1,184.88","1,184.88","1,184.88"
08/06/2009,"1,183.97","1,183.97","1,183.97","1,183.97"
08/05/2009,"1,179.49","1,179.49","1,179.49","1,179.49"
08/04/2009,"1,179.88","1,179.88","1,179.88","1,179.88"
08/03/2009,"1,171.31","1,171.31","1,171.31","1,171.31"
07/31/2009,"1,174.90","1,174.90","1,174.90","1,174.90"
07/30/2009,"1,160.66","1,160.66","1,160.66","1,160.66"
07/29/2009,"1,164.48","1,164.48","1,164.48","1,164.48"
07/28/2009,"1,172.38","1,172.38","1,172.38","1,172.38"
07/27/2009,"1,156.43","1,156.43","1,156.43","1,156.43"
07/24/2009,"1,155.88","1,155.88","1,155.88","1,155.88"
07/23/2009,"1,152.15","1,152.15","1,152.15","1,152.15"
07/22/2009,"1,148.70","1,148.70","1,148.70","1,148.70"
07/21/2009,"1,134.70","1,134.70","1,134.70","1,134.70"
07/20/2009,"1,139.25","1,139.25","1,139.25","1,139.25"
07/17/2009,"1,120.90","1,120.90","1,120.90","1,120.90"
07/16/2009,"1,108.88","1,108.88","1,108.88","1,108.88"
07/15/2009,"1,097.24","1,097.24","1,097.24","1,097.24"
07/14/2009,"1,079.63","1,079.63","1,079.63","1,079.63"
07/13/2009,"1,063.66","1,063.66","1,063.66","1,063.66"
07/10/2009,"1,067.76","1,067.76","1,067.76","1,067.76"
07/09/2009,"1,065.68","1,065.68","1,065.68","1,065.68"
07/08/2009,"1,065.47","1,065.47","1,065.47","1,065.47"
07/07/2009,"1,066.36","1,066.36","1,066.36","1,066.36"
07/06/2009,"1,065.83","1,065.83","1,065.83","1,065.83"
12/30/2008,"868.70","881.63","868.64","881.63"
12/26/2008,"869.03","869.38","863.33","867.35"
12/24/2008,"869.29","870.92","865.26","869.62"
12/23/2008,"874.20","874.20","862.29","874.20"
12/22/2008,"876.88","888.03","872.41","873.43"
12/19/2008,"879.06","881.48","874.71","876.40"
12/18/2008,"860.19","880.50","858.92","880.50"
12/17/2008,"860.32","864.59","857.28","862.50"
12/16/2008,"846.51","855.73","846.51","854.80"
12/15/2008,"854.66","856.15","846.47","846.47"
12/12/2008,"856.93","858.98","848.05","852.27"
12/11/2008,"853.96","860.68","851.10","860.68"
12/10/2008,"835.38","854.66","835.38","854.66"
12/09/2008,"846.45","853.44","835.17","835.17"
12/05/2008,"844.66","844.66","838.28","838.28"
12/04/2008,"846.55","848.71","843.57","846.86"
12/03/2008,"845.75","850.64","843.32","847.53"
12/02/2008,"848.43","845.75","838.07","845.75"
12/01/2008,"866.14","864.49","848.43","848.43"
11/28/2008,"866.03","868.73","860.70","866.14"
11/27/2008,"858.73","869.98","858.73","869.98"
11/26/2008,"857.89","859.65","848.03","856.37"
11/25/2008,"861.85","863.93","854.07","860.18"
11/24/2008,"863.32","863.75","854.44","855.39"
11/21/2008,"856.89","866.88","853.28","866.88"
11/20/2008,"867.85","869.14","858.96","865.32"
11/19/2008,"883.97","884.47","876.94","877.65"
11/18/2008,"879.67","884.57","877.78","883.09"
11/17/2008,"875.20","884.08","874.70","884.06"
11/14/2008,"886.78","887.86","880.97","881.65"
11/13/2008,"878.20","881.57","873.78","880.59"
11/12/2008,"888.96","896.28","882.65","890.34"
11/11/2008,"896.84","901.11","893.89","894.60"
11/10/2008,"901.67","905.33","894.94","904.24"
11/07/2008,"879.95","894.91","868.98","893.95"
11/06/2008,"900.05","900.36","889.59","895.95"
11/05/2008,"915.51","926.65","913.36","915.24"
11/04/2008,"905.48","910.54","889.56","905.58"
11/03/2008,"867.04","900.18","867.04","899.35"
10/31/2008,"848.60","869.32","848.60","863.61"
10/30/2008,"830.44","857.85","826.91","853.56"
10/29/2008,"850.25","850.25","821.75","829.41"
10/28/2008,"837.69","837.69","801.27","832.44"
10/24/2008,"888.85","889.22","853.52","859.11"
10/23/2008,"891.81","893.97","880.81","891.32"
10/22/2008,"912.33","913.51","902.32","904.28"
10/21/2008,"918.29","920.59","914.03","918.16"
10/20/2008,"906.25","910.76","888.28","909.51"
10/17/2008,"925.91","926.44","903.60","905.23"
10/16/2008,"931.88","932.40","912.11","920.02"
10/15/2008,"964.92","964.92","946.06","949.88"
10/14/2008,"970.02","973.70","963.20","966.06"
10/13/2008,"941.71","952.26","926.22","950.76"
10/10/2008,"945.09","949.68","931.79","934.01"
10/09/2008,"970.89","976.31","965.24","968.89"
10/08/2008,"984.18","985.45","959.49","970.19"
10/07/2008,"988.25","1,004.93","980.18","997.23"
10/06/2008,"1,013.39","1,014.61","995.14","996.84"
10/03/2008,"1,016.48","1,018.86","1,011.01","1,016.70"
09/30/2008,"995.12","1,023.24","993.60","1,018.68"
09/29/2008,"1,022.59","1,022.59","1,015.64","1,019.72"
09/26/2008,"1,027.25","1,029.71","1,018.18","1,020.53"
09/25/2008,"1,026.39","1,029.56","1,019.46","1,024.74"
09/24/2008,"1,025.34","1,030.33","1,019.31","1,028.40"
09/23/2008,"1,021.42","1,032.97","1,021.07","1,026.18"
09/22/2008,"1,036.40","1,040.85","1,025.04","1,028.62"
09/19/2008,"1,003.82","1,026.39","1,001.94","1,025.70"
09/18/2008,"993.21","998.14","963.29","991.66"
09/17/2008,"1,012.21","1,013.96","1,000.41","1,002.99"
09/16/2008,"1,016.14","1,016.72","1,008.13","1,012.37"
09/15/2008,"1,037.41","1,037.41","1,026.08","1,031.63"
09/12/2008,"1,044.57","1,048.23","1,040.61","1,044.03"
09/11/2008,"1,063.72","1,063.77","1,039.65","1,041.07"
09/10/2008,"1,061.70","1,067.92","1,061.57","1,062.70"
09/09/2008,"1,077.16","1,078.00","1,066.64","1,068.55"
09/08/2008,"1,075.22","1,081.28","1,075.22","1,075.93"
09/05/2008,"1,076.78","1,081.42","1,069.93","1,070.54"
09/04/2008,"1,084.11","1,089.54","1,083.74","1,085.06"
09/03/2008,"1,085.16","1,087.11","1,082.28","1,085.38"
09/02/2008,"1,097.08","1,097.08","1,086.83","1,086.99"
08/29/2008,"1,074.32","1,100.50","1,074.05","1,100.50"
08/28/2008,"1,069.08","1,074.45","1,068.80","1,070.46"
08/27/2008,"1,071.65","1,077.44","1,064.11","1,067.65"
08/26/2008,"1,076.62","1,076.84","1,066.91","1,070.50"
08/25/2008,"1,083.32","1,088.40","1,075.63","1,078.73"
