Date,Open,High,Low,Close
08/20/2012,"1,649.79","1,649.79","1,649.79","1,649.79"
08/17/2012,"1,649.79","1,649.79","1,649.79","1,649.79"
08/16/2012,"1,650.09","1,650.09","1,650.09","1,650.09"
08/15/2012,"1,653.78","1,653.78","1,653.78","1,653.78"
08/14/2012,"1,652.90","1,652.90","1,652.90","1,652.90"
08/13/2012,"1,646.32","1,646.32","1,646.32","1,646.32"
08/10/2012,"1,645.36","1,645.36","1,645.36","1,645.36"
08/09/2012,"1,642.52","1,642.52","1,642.52","1,642.52"
08/08/2012,"1,635.92","1,635.92","1,635.92","1,635.92"
08/07/2012,"1,631.12","1,631.12","1,631.12","1,631.12"
08/06/2012,"1,639.43","1,639.43","1,639.43","1,639.43"
08/03/2012,"1,635.04","1,635.04","1,635.04","1,635.04"
08/02/2012,"1,633.45","1,633.45","1,633.45","1,633.45"
08/01/2012,"1,632.47","1,632.47","1,632.47","1,632.47"
07/31/2012,"1,631.60","1,631.60","1,631.60","1,631.60"
07/30/2012,"1,632.35","1,632.35","1,632.35","1,632.35"
07/27/2012,"1,624.94","1,624.94","1,624.94","1,624.94"
07/26/2012,"1,623.91","1,623.91","1,623.91","1,623.91"
07/25/2012,"1,635.09","1,635.09","1,635.09","1,635.09"
07/24/2012,"1,632.57","1,632.57","1,632.57","1,632.57"
07/23/2012,"1,636.17","1,636.17","1,636.17","1,636.17"
07/20/2012,"1,643.00","1,643.00","1,643.00","1,643.00"
07/19/2012,"1,644.60","1,644.60","1,644.60","1,644.60"
07/18/2012,"1,645.00","1,645.00","1,645.00","1,645.00"
07/17/2012,"1,639.15","1,639.15","1,639.15","1,639.15"
07/16/2012,"1,635.96","1,635.96","1,635.96","1,635.96"
07/13/2012,"1,626.38","1,626.38","1,626.38","1,626.38"
07/12/2012,"1,625.49","1,625.49","1,625.49","1,625.49"
07/11/2012,"1,629.45","1,629.45","1,629.45","1,629.45"
07/10/2012,"1,624.29","1,624.29","1,624.29","1,624.29"
07/09/2012,"1,620.31","1,620.31","1,620.31","1,620.31"
07/06/2012,"1,620.55","1,620.55","1,620.55","1,620.55"
07/05/2012,"1,614.43","1,614.43","1,614.43","1,614.43"
07/04/2012,"1,613.75","1,613.75","1,613.75","1,613.75"
07/03/2012,"1,607.74","1,607.74","1,607.74","1,607.74"
07/02/2012,"1,600.85","1,600.85","1,600.85","1,600.85"
06/29/2012,"1,599.15","1,599.15","1,599.15","1,599.15"
06/28/2012,"1,594.24","1,594.24","1,594.24","1,594.24"
06/27/2012,"1,601.89","1,601.89","1,601.89","1,601.89"
06/26/2012,"1,594.10","1,594.10","1,594.10","1,594.10"
06/25/2012,"1,603.12","1,603.12","1,603.12","1,603.12"
06/22/2012,"1,603.07","1,603.07","1,603.07","1,603.07"
06/21/2012,"1,601.43","1,601.43","1,601.43","1,601.43"
06/20/2012,"1,604.39","1,604.39","1,604.39","1,604.39"
06/19/2012,"1,594.98","1,594.98","1,594.98","1,594.98"
06/18/2012,"1,582.73","1,582.73","1,582.73","1,582.73"
06/15/2012,"1,579.23","1,579.23","1,579.23","1,579.23"
06/14/2012,"1,570.94","1,570.94","1,570.94","1,570.94"
06/13/2012,"1,576.23","1,576.23","1,576.23","1,576.23"
06/12/2012,"1,576.07","1,576.07","1,576.07","1,576.07"
06/11/2012,"1,578.41","1,578.41","1,578.41","1,578.41"
06/08/2012,"1,570.62","1,570.62","1,570.62","1,570.62"
06/07/2012,"1,575.31","1,575.31","1,575.31","1,575.31"
06/06/2012,"1,569.43","1,569.43","1,569.43","1,569.43"
06/05/2012,"1,560.36","1,560.36","1,560.36","1,560.36"
06/04/2012,"1,555.18","1,555.18","1,555.18","1,555.18"
06/01/2012,"1,573.59","1,573.59","1,573.59","1,573.59"
05/31/2012,"1,580.67","1,580.67","1,580.67","1,580.67"
05/30/2012,"1,575.17","1,575.17","1,575.17","1,575.17"
05/29/2012,"1,565.32","1,565.32","1,565.32","1,565.32"
05/28/2012,"1,554.94","1,554.94","1,554.94","1,554.94"
05/25/2012,"1,551.12","1,551.12","1,551.12","1,551.12"
05/24/2012,"1,548.25","1,548.25","1,548.25","1,548.25"
