Date,Open,High,Low,Close
08/17/2015,"1,572.54","1,572.54","1,572.54","1,572.54"
08/14/2015,"1,596.82","1,596.82","1,596.82","1,596.82"
08/13/2015,"1,621.62","1,621.62","1,621.62","1,621.62"
08/12/2015,"1,609.93","1,609.93","1,609.93","1,609.93"
08/11/2015,"1,636.71","1,636.71","1,636.71","1,636.71"
08/10/2015,"1,654.37","1,654.37","1,654.37","1,654.37"
08/07/2015,"1,682.65","1,682.65","1,682.65","1,682.65"
08/06/2015,"1,694.64","1,694.64","1,694.64","1,694.64"
08/05/2015,"1,725.56","1,725.56","1,725.56","1,725.56"
08/04/2015,"1,723.73","1,723.73","1,723.73","1,723.73"
08/03/2015,"1,744.19","1,744.19","1,744.19","1,744.19"
07/31/2015,"1,723.14","1,723.14","1,723.14","1,723.14"
07/30/2015,"1,699.92","1,699.92","1,699.92","1,699.92"
07/29/2015,"1,698.99","1,698.99","1,698.99","1,698.99"
07/28/2015,"1,699.70","1,699.70","1,699.70","1,699.70"
07/27/2015,"1,709.76","1,709.76","1,709.76","1,709.76"
07/24/2015,"1,720.76","1,720.76","1,720.76","1,720.76"
07/23/2015,"1,722.44","1,722.44","1,722.44","1,722.44"
07/22/2015,"1,729.53","1,729.53","1,729.53","1,729.53"
07/21/2015,"1,736.19","1,736.19","1,736.19","1,736.19"
07/20/2015,"1,724.13","1,724.13","1,724.13","1,724.13"
07/17/2015,"1,726.73","1,726.73","1,726.73","1,726.73"
07/16/2015,"1,726.73","1,726.73","1,726.73","1,726.73"
07/15/2015,"1,727.26","1,727.26","1,727.26","1,727.26"
07/14/2015,"1,721.10","1,721.10","1,721.10","1,721.10"
07/13/2015,"1,716.11","1,716.11","1,716.11","1,716.11"
07/10/2015,"1,715.58","1,715.58","1,715.58","1,715.58"
07/09/2015,"1,701.54","1,701.54","1,701.54","1,701.54"
07/08/2015,"1,695.83","1,695.83","1,695.83","1,695.83"
07/07/2015,"1,712.30","1,712.30","1,712.30","1,712.30"
07/06/2015,"1,717.05","1,717.05","1,717.05","1,717.05"
07/03/2015,"1,734.24","1,734.24","1,734.24","1,734.24"
07/02/2015,"1,733.88","1,733.88","1,733.88","1,733.88"
07/01/2015,"1,727.96","1,727.96","1,727.96","1,727.96"
06/30/2015,"1,706.64","1,706.64","1,706.64","1,706.64"
06/29/2015,"1,691.92","1,691.92","1,691.92","1,691.92"
06/26/2015,"1,710.47","1,710.47","1,710.47","1,710.47"
06/25/2015,"1,716.81","1,716.81","1,716.81","1,716.81"
06/24/2015,"1,731.68","1,731.68","1,731.68","1,731.68"
06/23/2015,"1,726.86","1,726.86","1,726.86","1,726.86"
06/22/2015,"1,732.76","1,732.76","1,732.76","1,732.76"
06/19/2015,"1,721.77","1,721.77","1,721.77","1,721.77"
06/18/2015,"1,718.12","1,718.12","1,718.12","1,718.12"
06/17/2015,"1,726.86","1,726.86","1,726.86","1,726.86"
06/16/2015,"1,722.24","1,722.24","1,722.24","1,722.24"
06/15/2015,"1,722.16","1,722.16","1,722.16","1,722.16"
06/12/2015,"1,734.37","1,734.37","1,734.37","1,734.37"
06/11/2015,"1,734.76","1,734.76","1,734.76","1,734.76"
06/10/2015,"1,735.63","1,735.63","1,735.63","1,735.63"
06/09/2015,"1,729.05","1,729.05","1,729.05","1,729.05"
06/08/2015,"1,739.45","1,739.45","1,739.45","1,739.45"
06/05/2015,"1,745.33","1,745.33","1,745.33","1,745.33"
06/04/2015,"1,741.48","1,741.48","1,741.48","1,741.48"
