"","PD38026MD"
"","Indicadores bursátiles - Índice General Bursátil BVL (índice)"
02Dic10,21547.34
03Dic10,21651.12
06Dic10,21727.17
07Dic10,21915.33
08Dic10,21915.33
09Dic10,21807.69
10Dic10,21843.42
13Dic10,22085.82
14Dic10,22032.85
15Dic10,21972.9
16Dic10,22041.44
17Dic10,22035.58
20Dic10,22092.86
21Dic10,22445.14
22Dic10,22718.62
23Dic10,22689.38
24Dic10,22791.27
27Dic10,22959.71
28Dic10,23057.3
29Dic10,23178.45
30Dic10,23252.67
31Dic10,23374.57
03Ene11,23647.92
04Ene11,23490.09
05Ene11,23495.61
06Ene11,23305.04
07Ene11,22928.85
10Ene11,22502.52
11Ene11,22675.23
12Ene11,22631.86
13Ene11,22166.93
14Ene11,21792.57
17Ene11,21819.53
18Ene11,22119.08
19Ene11,22128.27
20Ene11,21705.47
21Ene11,21651.64
24Ene11,21857.05
25Ene11,21735.14
26Ene11,22005.95
27Ene11,22502.92
28Ene11,22530.71
31Ene11,22887.41
01Feb11,23218.52
02Feb11,23419.93
03Feb11,23724.08
04Feb11,23701.56
07Feb11,23777.04
08Feb11,23487.93
09Feb11,22989.58
10Feb11,22861.64
11Feb11,22772.1
14Feb11,22985.35
15Feb11,22761.08
16Feb11,22788.76
17Feb11,22793.27
18Feb11,23041.59
21Feb11,23028.9
22Feb11,22694.93
23Feb11,22616.51
24Feb11,22635.95
25Feb11,22763.85
28Feb11,22842.96
01Mar11,22689.04
02Mar11,22709.28
03Mar11,22623.39
04Mar11,22662.51
07Mar11,22563.34
08Mar11,22442.21
09Mar11,22167.65
10Mar11,21625.29
11Mar11,21784.13
14Mar11,21453.22
15Mar11,20982.75
16Mar11,20984.13
17Mar11,20758.13
18Mar11,20496.59
21Mar11,21375.17
22Mar11,21961.66
23Mar11,22259.34
24Mar11,22557.82
25Mar11,22242.55
28Mar11,21095.67
29Mar11,21496.34
30Mar11,21807.64
31Mar11,21957.49
01Abr11,21562.53
04Abr11,21179.11
05Abr11,21441.84
06Abr11,21554.14
07Abr11,21147.76
08Abr11,21246.34
11Abr11,20588.69
12Abr11,19848.49
13Abr11,18613.96
14Abr11,18730.84
15Abr11,19371.26
18Abr11,18852.91
19Abr11,18999.17
20Abr11,18798.67
21Abr11,18798.67
22Abr11,18798.67
25Abr11,18176.55
26Abr11,17765.63
27Abr11,17959.32
28Abr11,18971.59
29Abr11,19636.22
02May11,19534.32
03May11,19485.14
04May11,20678.38
05May11,20638.49
06May11,21769.92
09May11,21598.84
10May11,21129.86
11May11,20735.46
12May11,21483.63
13May11,22080.21
16May11,22053.07
17May11,21969.04
18May11,22070.8
19May11,22034.42
20May11,21814.19
23May11,21478.64
24May11,21776.94
25May11,21999.71
26May11,22619.09
27May11,22375.3
30May11,21217.76
31May11,21566.07
01Jun11,20283.93
02Jun11,21736.48
03Jun11,21227.68
06Jun11,18585.81
07Jun11,19881.1
08Jun11,20581.13
09Jun11,20953.26
10Jun11,20661.02
13Jun11,20597.58
14Jun11,20677.88
15Jun11,20146.17
16Jun11,19813.6
17Jun11,19898.22
20Jun11,19734.02
21Jun11,19221.42
22Jun11,19149.9
23Jun11,19013.57
24Jun11,18996.88
27Jun11,18842.29
28Jun11,18719.46
29Jun11,18719.46
30Jun11,18878.78
01Jul11,19207.77
04Jul11,19368.44
05Jul11,19375.02
06Jul11,19459.57
07Jul11,19863.51
08Jul11,19916.9
11Jul11,19763.8
12Jul11,19931.9
13Jul11,20220.94
14Jul11,20181.82
15Jul11,20345.75
18Jul11,21284.74
19Jul11,21963.55
20Jul11,22176.12
21Jul11,22164.41
22Jul11,22049.23
25Jul11,22077.03
26Jul11,22307.17
27Jul11,21963.1
28Jul11,21963.1
29Jul11,21963.1
01Ago11,21943.78
02Ago11,21710.28
03Ago11,21517.25
04Ago11,20319.87
05Ago11,20160.11
08Ago11,18730.56
09Ago11,19212.6
10Ago11,18969.23
11Ago11,19678.72
12Ago11,19937.43
15Ago11,20067.39
16Ago11,19772
17Ago11,19980.02
18Ago11,19516.14
19Ago11,19378.12
22Ago11,19388.57
23Ago11,19488.45
24Ago11,19502.86
25Ago11,19475.44
26Ago11,19795.94
29Ago11,20019.9
30Ago11,20019.9
31Ago11,20697.11
01Set11,20726.6
02Set11,20443.56
05Set11,20108.41
06Set11,19931.29
07Set11,20134.76
08Set11,20077.53
09Set11,19906.55
12Set11,19939.77
13Set11,19980.85
14Set11,20179.69
15Set11,20426.79
16Set11,20573.07
19Set11,20321.09
20Set11,20305.74
21Set11,19933.32
22Set11,19011.88
23Set11,18813.82
26Set11,18694.26
27Set11,19134.43
28Set11,18543.93
29Set11,18435.79
30Set11,18329.1
03Oct11,17838.98
04Oct11,17317.88
05Oct11,17543.34
06Oct11,17745.48
07Oct11,17761.27
10Oct11,18270.65
11Oct11,18268.85
12Oct11,18554.9
13Oct11,18623.62
14Oct11,18897.41
17Oct11,18723.34
18Oct11,18988.64
19Oct11,18766.55
20Oct11,18567.91
21Oct11,18857.1
24Oct11,19465.92
25Oct11,19307.25
26Oct11,19342.14
27Oct11,20012.08
28Oct11,20044.34
31Oct11,19629.63
01Nov11,19629.63
02Nov11,19486.18
03Nov11,19579.97
04Nov11,19370.46
07Nov11,19392.22
08Nov11,19509.95
09Nov11,19010.75
10Nov11,19127.85
11Nov11,19450.89
14Nov11,19346.98
15Nov11,19359.25
16Nov11,19529.14
17Nov11,19304.53
18Nov11,19240.14
21Nov11,18956.18
22Nov11,19131.61
23Nov11,19007.82
24Nov11,18975.54
25Nov11,18957.75
28Nov11,19168.9
29Nov11,19236.99
30Nov11,19911.82
01Dic11,19814.4
02Dic11,20178.69
05Dic11,20200.38
06Dic11,20090.29
07Dic11,19986.43
08Dic11,19986.43
09Dic11,19985.96
12Dic11,19734.71
13Dic11,19587.19
14Dic11,19305.93
15Dic11,19389.82
16Dic11,19446.49
19Dic11,19168.95
20Dic11,19370.41
21Dic11,19360.66
22Dic11,19383.07
23Dic11,19428.81
26Dic11,19458.87
27Dic11,19398.51
28Dic11,19268.55
29Dic11,19385.19
30Dic11,19473.71
02Ene12,19579.41
03Ene12,19886.89
04Ene12,19940.09
05Ene12,19943.99
06Ene12,19800.88
09Ene12,19947.48
10Ene12,20269.16
11Ene12,20280.64
12Ene12,20539.69
13Ene12,20472
16Ene12,20592.42
17Ene12,20712.92
18Ene12,20868.23
19Ene12,21006.51
20Ene12,20887.84
23Ene12,21206.06
24Ene12,21277.53
25Ene12,21410.67
26Ene12,21645.82
27Ene12,21843.63
30Ene12,21852.1
31Ene12,21948.07
01Feb12,22371.22
02Feb12,22686.68
03Feb12,22918.62
06Feb12,22906.38
07Feb12,22803.81
08Feb12,22730.7
09Feb12,22697.16
10Feb12,22508.29
13Feb12,22429.9
14Feb12,22269.27
15Feb12,22276.71
16Feb12,22360.79
17Feb12,22456.8
20Feb12,22604.62
21Feb12,22873.38
22Feb12,22870.86
23Feb12,22835.83
24Feb12,22825.87
27Feb12,22729.93
28Feb12,22900.81
29Feb12,22728.75
01Mar12,22982.85
02Mar12,23163.87
05Mar12,22967.3
06Mar12,22664.72
07Mar12,22839.18
08Mar12,23033.26
09Mar12,23232.5
12Mar12,22997.66
13Mar12,23145.52
14Mar12,23015.47
15Mar12,22974.79
16Mar12,22962.52
19Mar12,23079.77
20Mar12,22935.7
21Mar12,23056.42
22Mar12,22772.6
23Mar12,22953.79
26Mar12,23334.57
27Mar12,23650.62
28Mar12,23537.51
29Mar12,23335.12
30Mar12,23612.02
02Abr12,24051.62
03Abr12,24035.61
04Abr12,23622.59
05Abr12,23622.59
06Abr12,23622.59
09Abr12,23405.64
10Abr12,23284.84
11Abr12,23270.01
12Abr12,23471.36
13Abr12,23335.66
16Abr12,23268.5
17Abr12,23361.21
18Abr12,23274.98
19Abr12,23149.97
20Abr12,23264.9
23Abr12,22938.24
24Abr12,22945.72
25Abr12,22845.02
26Abr12,22799.41
27Abr12,22908.98
30Abr12,22677.93
01May12,22677.93
02May12,22379.99
03May12,22055.99
04May12,22138.03
07May12,21967.93
08May12,21393.59
09May12,21550.8
10May12,21763.94
11May12,21662.45
14May12,21255.2
15May12,20871.12
16May12,20856.99
17May12,20622.02
18May12,20501.81
21May12,20680.89
22May12,20726.59
23May12,20536.83
24May12,20637.22
25May12,20744.49
28May12,20849.26
29May12,21026.33
30May12,20875.09
31May12,20997.56
01Jun12,20700.68
04Jun12,20575.03
05Jun12,20655.57
06Jun12,21018.91
07Jun12,21020.17
08Jun12,20957.55
11Jun12,20905.8
12Jun12,20887.63
13Jun12,20812.6
14Jun12,20702.9
15Jun12,20634.18
18Jun12,20714.6
19Jun12,20776.54
20Jun12,20712.41
21Jun12,20434.58
22Jun12,20509.26
25Jun12,20426.87
26Jun12,20372.07
27Jun12,20334.85
28Jun12,20207.16
29Jun12,20207.16
02Jul12,20645.1
03Jul12,20776.82
04Jul12,20718.49
05Jul12,20661.89
06Jul12,20602.68
09Jul12,20434.36
10Jul12,20224.52
11Jul12,20089.31
12Jul12,19954.85
13Jul12,20107.13
16Jul12,20067.35
17Jul12,20033.85
18Jul12,20088.64
19Jul12,20115.5
20Jul12,20023.06
23Jul12,19754.37
24Jul12,19536.55
25Jul12,19544.29
26Jul12,19674.23
27Jul12,19822.53
30Jul12,19692.52
31Jul12,19627.5
01Ago12,19452.8
02Ago12,19282.92
03Ago12,19730.47
06Ago12,19738.5
07Ago12,19754.17
08Ago12,19769.55
09Ago12,19748.2
10Ago12,19806.65
13Ago12,19736.77
14Ago12,19833.06
15Ago12,19844.55
16Ago12,20022.02
17Ago12,20105.31
20Ago12,20107.08
21Ago12,20304.73
22Ago12,20295.43
23Ago12,20177.65
24Ago12,20215.36
27Ago12,20265.77
28Ago12,20230.82
29Ago12,20197.62
30Ago12,20197.62
31Ago12,20311.66
03Set12,20270.41
04Set12,19985.31
05Set12,19977.86
06Set12,20161.75
07Set12,20494.04
10Set12,20536.23
11Set12,20717.42
12Set12,20997.78
13Set12,21435.23
14Set12,21951.8
17Set12,21762.3
18Set12,21610.01
19Set12,21723.63
20Set12,21694.87
21Set12,21884.55
24Set12,21784.77
25Set12,21747.83
26Set12,21583.91
27Set12,21736.07
28Set12,21674.79
01Oct12,21674.79
02Oct12,21674.79
03Oct12,21432.79
04Oct12,21680.57
05Oct12,21766.63
08Oct12,21766.63
09Oct12,21508.1
10Oct12,21399.3
11Oct12,21525.1
12Oct12,21410.29
15Oct12,21349.18
16Oct12,21472.51
17Oct12,21529.58
18Oct12,21476.86
19Oct12,21443.3
22Oct12,21402.98
23Oct12,21166.87
24Oct12,21056.94
25Oct12,21011.04
26Oct12,20968.79
29Oct12,20918.6
30Oct12,20952.4
31Oct12,20789.41
01Nov12,20789.41
02Nov12,20865.63
05Nov12,20978.92
06Nov12,20935.86
07Nov12,20886.62
08Nov12,21115.06
09Nov12,21046.16
12Nov12,21060.33
13Nov12,21067.94
14Nov12,20523.54
15Nov12,20093.83
16Nov12,20044
19Nov12,20307.63
20Nov12,20191.7
21Nov12,20102.05
22Nov12,20039.84
23Nov12,20227.74
26Nov12,20211.52
27Nov12,20096.61
28Nov12,20073.39
29Nov12,20165.15
30Nov12,20044.62
03Dic12,20291.44
04Dic12,20260.81
05Dic12,20199.39
06Dic12,20192.09
07Dic12,19938.26
10Dic12,19908.02
11Dic12,20147.83
12Dic12,20272.09
13Dic12,20158.65
14Dic12,20147.08
17Dic12,20163.94
18Dic12,20292.21
19Dic12,20466.87
20Dic12,20350.45
21Dic12,20338.87
24Dic12,20307.31
25Dic12,20307.31
26Dic12,20354.4
27Dic12,20377.63
28Dic12,20548.18
31Dic12,20629.35
01Ene13,20629.35
02Ene13,21016.02
03Ene13,21120.35
04Ene13,21221.45
07Ene13,21336.93
08Ene13,21544.54
09Ene13,21588.08
10Ene13,21902.23
11Ene13,21905.52
14Ene13,21870.35
15Ene13,21735.27
16Ene13,21836.92
17Ene13,21761.43
18Ene13,21666.72
21Ene13,21747.62
22Ene13,21625.27
23Ene13,21651.73
24Ene13,21500.47
25Ene13,21282.8
28Ene13,20926.11
29Ene13,20940.92
30Ene13,21305.86
31Ene13,21435.29
01Feb13,21800.27
04Feb13,21641.7
05Feb13,21730.15
06Feb13,21754.08
07Feb13,21707.35
08Feb13,21778.57
11Feb13,21613.02
12Feb13,21627.8
13Feb13,21612.37
14Feb13,21395.36
15Feb13,21108.1
18Feb13,21106.48
19Feb13,21026.39
20Feb13,20818.86
21Feb13,20663.4
22Feb13,20633.63
25Feb13,20562.5
26Feb13,20678.88
27Feb13,20640.62
28Feb13,20611.68
01Mar13,20646.48
04Mar13,20385.47
05Mar13,20446.4
06Mar13,20560.62
07Mar13,20364.56
08Mar13,20384.79
11Mar13,20360.8
12Mar13,20218.3
13Mar13,19796.57
14Mar13,19796.84
15Mar13,20196.13
18Mar13,20155.47
19Mar13,19815.95
20Mar13,19852.6
21Mar13,19966.45
22Mar13,19992.52
25Mar13,19744.55
26Mar13,19762.85
27Mar13,19858.95
28Mar13,19858.95
29Mar13,19858.95
01Abr13,19917.41
02Abr13,19702.15
03Abr13,19549.08
04Abr13,19608.48
05Abr13,19509.57
08Abr13,19381.26
09Abr13,19494.2
10Abr13,19389.54
11Abr13,19462.2
12Abr13,19226.88
15Abr13,18435.84
16Abr13,18487.57
17Abr13,17915.72
18Abr13,17858.14
19Abr13,17904.84
22Abr13,17900.16
23Abr13,17781.56
24Abr13,17662.16
25Abr13,18153.91
26Abr13,17789.27
29Abr13,17822.09
30Abr13,17352.92
01May13,17352.92
02May13,17447.61
03May13,17652.27
06May13,17706.34
07May13,17408.11
08May13,17575.32
09May13,17812.75
10May13,17801.38
13May13,17996.48
14May13,17565.34
15May13,17129.65
16May13,16416.57
17May13,16543.37
20May13,16679.29
21May13,16745.83
22May13,16736.28
23May13,16610.8
24May13,16454.05
27May13,16418.54
28May13,16259.62
29May13,16110.1
30May13,16097.54
31May13,16049.65
03Jun13,15970.84
04Jun13,16063.22
05Jun13,15959.73
06Jun13,15914.96
07Jun13,16114.33
10Jun13,16145.86
11Jun13,15713.69
12Jun13,15761.38
13Jun13,16347.38
14Jun13,16437.48
17Jun13,16645.7
18Jun13,16714.68
19Jun13,16561.75
20Jun13,15746.1
21Jun13,15630.08
24Jun13,15250.53
25Jun13,15328.74
26Jun13,15134.25
27Jun13,15166.67
28Jun13,15549.55
01Jul13,15621.95
02Jul13,15492.35
03Jul13,15450.24
04Jul13,15415.37
05Jul13,15181.7
08Jul13,15152.49
09Jul13,14899.53
10Jul13,14643.03
11Jul13,14955.11
12Jul13,15013.6
15Jul13,15023
16Jul13,15136.15
17Jul13,15326.01
18Jul13,15318.54
19Jul13,15417.65
22Jul13,15524.31
23Jul13,15622.8
24Jul13,15412.89
25Jul13,15335.67
26Jul13,15310.92
29Jul13,15310.92
30Jul13,15122.77
31Jul13,15118.46
01Ago13,15308.76
02Ago13,15298.04
05Ago13,15267.87
06Ago13,15045.4
07Ago13,15082.58
08Ago13,15226.93
09Ago13,15638.41
12Ago13,16255.61
13Ago13,16362.32
14Ago13,16500.91
15Ago13,16509.26
16Ago13,16525.49
19Ago13,16550.76
20Ago13,16681
21Ago13,16615.31
22Ago13,16596.22
23Ago13,16765.36
26Ago13,16855.55
27Ago13,16506.57
28Ago13,16521.58
29Ago13,16652.22
30Ago13,16652.22
02Set13,16714.59
03Set13,16928.39
04Set13,16826.8
05Set13,16767.41
06Set13,16966.79
09Set13,16977.32
10Set13,17130.34
11Set13,17000.43
12Set13,16498.57
13Set13,16444.54
16Set13,16645.76
17Set13,16196.93
18Set13,16154.26
19Set13,16405.7
20Set13,16115.22
23Set13,16043.69
24Set13,15906.88
25Set13,16003.32
26Set13,15805.05
27Set13,15945.97
30Set13,15919.71
01Oct13,15791
02Oct13,15816.68
03Oct13,15648.19
04Oct13,15530.89
07Oct13,15551.31
08Oct13,15551.31
09Oct13,15512.25
10Oct13,15488.27
11Oct13,15460.93
14Oct13,15467.03
15Oct13,15503.33
16Oct13,15540.24
17Oct13,15734.01
18Oct13,15890.28
21Oct13,15916.41
22Oct13,16285.81
23Oct13,16197.65
24Oct13,16223.52
25Oct13,16196.63
28Oct13,16235.15
29Oct13,16393.7
30Oct13,16309.78
31Oct13,16322.01
01Nov13,16322.01
04Nov13,16484.09
05Nov13,16436.35
06Nov13,16401.26
07Nov13,16204.11
08Nov13,15918.69
11Nov13,15945.72
12Nov13,15889.47
13Nov13,15729.61
14Nov13,15709.04
15Nov13,15725.15
18Nov13,15556.41
19Nov13,15310.41
20Nov13,15204.05
21Nov13,15124.5
22Nov13,15097.13
25Nov13,15032.63
26Nov13,15186.45
27Nov13,15174.7
28Nov13,15170.99
29Nov13,15200.4
02Dic13,15142.06
03Dic13,14767.72
04Dic13,14712.12
05Dic13,14654.59
06Dic13,14667.65
09Dic13,14779
10Dic13,15045.13
11Dic13,15079.71
12Dic13,15171.99
13Dic13,15264.77
16Dic13,15545.4
17Dic13,15716.91
18Dic13,15706.96
19Dic13,15574.71
20Dic13,15493.37
23Dic13,15472.12
24Dic13,15518.74
25Dic13,15518.74
26Dic13,15593.06
27Dic13,15595.38
30Dic13,15642.75
31Dic13,15642.75
01Ene14,15753.65
02Ene14,15876.48
03Ene14,15878.75
06Ene14,15839.65
07Ene14,15830.62
08Ene14,15955.59
09Ene14,15954.3
10Ene14,16072.72
13Ene14,16140.16
14Ene14,16133.42
15Ene14,16179.3
16Ene14,16321.6
17Ene14,16465.43
20Ene14,16535.05
21Ene14,16530.24
22Ene14,16380.63
23Ene14,16377.16
24Ene14,16056.19
27Ene14,15786.49
28Ene14,15633.76
29Ene14,15396.45
30Ene14,15550.22
31Ene14,15452.05
03Feb14,15050.95
04Feb14,15080.39
05Feb14,15071.95
06Feb14,15109.53
07Feb14,15349.08
10Feb14,15284.58
11Feb14,15330.41
12Feb14,15351.01
13Feb14,15447.67
14Feb14,15564.23
17Feb14,15604.35
18Feb14,15565.93
19Feb14,15417.88
20Feb14,15479.51
21Feb14,15564.71
24Feb14,15593.31
25Feb14,15488.66
26Feb14,15349.5
27Feb14,15306.96
28Feb14,15441.26
03Mar14,15156.89
04Mar14,15210.19
05Mar14,15184.22
06Mar14,15225.12
07Mar14,15129.25
10Mar14,15097.11
11Mar14,15110.22
12Mar14,15155.35
13Mar14,14874.97
14Mar14,14804.94
17Mar14,14768.52
18Mar14,14676.63
19Mar14,14455.76
20Mar14,14454.23
21Mar14,14407.32
24Mar14,14341.02
25Mar14,14134.53
26Mar14,14032.78
27Mar14,14037.48
28Mar14,14273.32
31Mar14,14298.92
01Abr14,14297.44
02Abr14,14298.84
03Abr14,14282.55
04Abr14,14298.89
07Abr14,14302.95
08Abr14,14496.39
09Abr14,14572.88
10Abr14,14761.23
11Abr14,14689.57
14Abr14,14769.21
15Abr14,14619.67
16Abr14,14648.56
17Abr14,14648.56
18Abr14,14648.56
21Abr14,14691.51
22Abr14,14800.99
23Abr14,14949.74
24Abr14,15129.66
25Abr14,15099.65
28Abr14,15093.64
29Abr14,15247.13
30Abr14,15528.38
01May14,15528.38
02May14,15572.52
05May14,15636.6
06May14,15605.98
07May14,15677
08May14,15851.4
09May14,15881.39
12May14,16112.52
13May14,15815.85
14May14,15758.68
15May14,15792.3
16May14,15751.73
19May14,15670.95
20May14,15676.32
21May14,15642.04
22May14,15741.4
23May14,15788.07
26May14,15783.79
27May14,15770.34
28May14,15663.09
29May14,15672.46
30May14,15753.25
02Jun14,15740.19
03Jun14,15754
04Jun14,15667.79
05Jun14,15909.82
06Jun14,15957.13
09Jun14,16050.64
10Jun14,16051.58
11Jun14,16075.62
12Jun14,16236.02
13Jun14,16210.72
16Jun14,16254.8
17Jun14,16325.41
18Jun14,16416.82
19Jun14,16665.33
20Jun14,16641.54
23Jun14,16636.9
24Jun14,16490.87
25Jun14,16494.35
26Jun14,16553.74
27Jun14,16496.01
30Jun14,16662.28
01Jul14,16718.72
02Jul14,16766.65
03Jul14,16903.33
04Jul14,16986
07Jul14,16999.62
08Jul14,17082.05
09Jul14,17202.87
10Jul14,17137.38
11Jul14,17152.95
14Jul14,17066.87
15Jul14,16862.7
16Jul14,16852.04
17Jul14,16841.88
18Jul14,16871.23
21Jul14,16942.47
22Jul14,17006.07
23Jul14,17032.88
24Jul14,16968.57
25Jul14,17022.2
28Jul14,17022.2
29Jul14,17022.2
30Jul14,16882.83
31Jul14,16866.07
01Ago14,16922.14
04Ago14,16930.33
05Ago14,16787.32
06Ago14,16898.38
07Ago14,16861.87
08Ago14,16812.54
11Ago14,16843.52
12Ago14,16836.93
13Ago14,16799.94
14Ago14,16804.75
15Ago14,16758.53
18Ago14,16950.61
19Ago14,16954.8
20Ago14,16969.2
21Ago14,16979.49
22Ago14,17036.21
25Ago14,17029.72
26Ago14,16942.27
27Ago14,17026.95
28Ago14,17031.38
29Ago14,17010.82
01Set14,17024.49
02Set14,17013.96
03Set14,17218.55
04Set14,17040.53
05Set14,17229.18
08Set14,17248.57
09Set14,17139.06
10Set14,16989.39
11Set14,17076.72
12Set14,16925.71
15Set14,17012
16Set14,17074.8
17Set14,17002.35
18Set14,16908.78
19Set14,16941.95
22Set14,16768.59
23Set14,16787.61
24Set14,16724.63
25Set14,16621.48
26Set14,16600.78
29Set14,16568.19
30Set14,16226.61
01Oct14,15965.63
02Oct14,15736.33
03Oct14,15741.46
06Oct14,15702.63
07Oct14,15419.64
08Oct14,15419.64
09Oct14,15454.57
10Oct14,15547.78
13Oct14,15601.33
14Oct14,15615.66
15Oct14,15819.13
16Oct14,15893.11
17Oct14,16134.26
20Oct14,15817.7
21Oct14,15773.59
22Oct14,15799.48
23Oct14,15996.64
24Oct14,16037.7
27Oct14,15879.49
28Oct14,16004.02
29Oct14,16023.11
30Oct14,15829.53
31Oct14,15673.23
03Nov14,15532.44
04Nov14,15438.97
05Nov14,15094.07
06Nov14,15180.74
07Nov14,15468.98
10Nov14,15446.49
11Nov14,15641.68
12Nov14,15479.6
13Nov14,15403.24
14Nov14,15280.63
17Nov14,15096.86
18Nov14,15177.2
19Nov14,15138.3
20Nov14,15186.36
21Nov14,15335.41
24Nov14,15344.04
25Nov14,15358.94
26Nov14,15358.57
27Nov14,15238.19
28Nov14,15106.46
01Dic14,15184.14
02Dic14,15057.59
03Dic14,15107.87
04Dic14,14972.32
05Dic14,14749.03
08Dic14,14749.03
09Dic14,14833.52
10Dic14,14920.37
11Dic14,14854.17
12Dic14,14698.21
15Dic14,14422.62
16Dic14,14130.59
17Dic14,14149.26
18Dic14,14390.6
19Dic14,14474.49
22Dic14,14507.01
23Dic14,14551.43
24Dic14,14543.19
25Dic14,14543.19
26Dic14,14669.01
29Dic14,14517.38
30Dic14,14724.48
31Dic14,14794.32
01Ene15,14794.32
02Ene15,14794.32
05Ene15,14540.86
06Ene15,14540.93
07Ene15,14489.66
08Ene15,14432.61
09Ene15,14384.35
12Ene15,14358.7
13Ene15,14018.22
14Ene15,13502.34
15Ene15,13537.47
16Ene15,13563.4
19Ene15,13578.16
20Ene15,13581.74
21Ene15,13394.86
22Ene15,13514.09
23Ene15,13484.07
26Ene15,13579.33
27Ene15,13740.58
28Ene15,13630.74
29Ene15,13465.25
30Ene15,13669.78
02Feb15,13542.85
03Feb15,13633.88
04Feb15,13755.51
05Feb15,13800.41
06Feb15,13534.77
09Feb15,13620.86
10Feb15,13552.85
11Feb15,13504.13
12Feb15,13679.43
13Feb15,13972.14
16Feb15,14048.35
17Feb15,13767.83
18Feb15,13836.16
19Feb15,13861.92
20Feb15,13768.68
23Feb15,13460.43
24Feb15,13493.65
25Feb15,13379.83
26Feb15,13353.22
27Feb15,13397.42
02Mar15,13420.88
03Mar15,13374.89
04Mar15,13334.85
05Mar15,13276
06Mar15,13018.53
09Mar15,12716.48
10Mar15,12634.01
11Mar15,12586.19
12Mar15,12634.37
13Mar15,12636.75
16Mar15,12479.88
17Mar15,12529.81
18Mar15,12620.68
19Mar15,12582.06
20Mar15,12690.25
23Mar15,12524.78
24Mar15,12521.45
25Mar15,12414.35
26Mar15,12374.41
27Mar15,12375.11
30Mar15,12417.14
31Mar15,12461.81
01Abr15,12717.95
02Abr15,12717.95
03Abr15,12717.95
06Abr15,12949.61
07Abr15,12878.14
08Abr15,12802.56
09Abr15,12823.19
10Abr15,12887.65
13Abr15,12884.19
14Abr15,12932.14
15Abr15,13020.72
16Abr15,13138.01
17Abr15,13044.42
20Abr15,12999.62
21Abr15,12967.09
22Abr15,13024.34
23Abr15,13075.31
24Abr15,13071.7
27Abr15,13183.45
28Abr15,13217.95
29Abr15,13237.66
30Abr15,13366.86
01May15,13366.86
04May15,13595.58
05May15,13640.26
06May15,13617.93
07May15,13547.46
08May15,13516.81
11May15,13610.45
12May15,13623.68
13May15,13769.06
14May15,13772.34
15May15,13769.28
18May15,13604.84
19May15,13482.71
20May15,13478.72
21May15,13346.01
22May15,13391.57
25May15,13429.56
26May15,13256.74
27May15,13188.15
28May15,13188.73
29May15,13180.61
01Jun15,13048.17
02Jun15,13224.93
03Jun15,13088.81
04Jun15,13053.03
05Jun15,13052
08Jun15,12985.77
09Jun15,12946.18
10Jun15,13003.88
11Jun15,13007.1
12Jun15,13022.36
15Jun15,12960.09
16Jun15,12897.29
17Jun15,13065.6
18Jun15,13094.98
19Jun15,13131.05
22Jun15,13196.12
23Jun15,13244.79
24Jun15,13306.99
25Jun15,13187.66
26Jun15,13284.37
29Jun15,13284.37
30Jun15,13113.17
01Jul15,13090.1
02Jul15,13052.91
03Jul15,13054.91
06Jul15,12896.75
07Jul15,12837.56
08Jul15,12694.81
09Jul15,12662.06
10Jul15,12701.42
13Jul15,12769.72
14Jul15,12795.86
15Jul15,12728.43
16Jul15,12696.56
17Jul15,12519.26
20Jul15,12257.79
21Jul15,12302.83
22Jul15,12236.28
23Jul15,12046.74
24Jul15,11969
27Jul15,n.d.
28Jul15,n.d.
29Jul15,n.d.
30Jul15,11968.64
31Jul15,11987.88
03Ago15,11759.65
04Ago15,11686.71
05Ago15,11720.57
06Ago15,11667.19
07Ago15,11609.36
10Ago15,11775.78
11Ago15,11615.31
12Ago15,11585.37
13Ago15,11513.45
14Ago15,10908.66
17Ago15,10737.66
18Ago15,10688.51
19Ago15,10559.68
20Ago15,10473.66
21Ago15,10193.84
24Ago15,9752.81
25Ago15,9782.62
26Ago15,9770.21
27Ago15,10257.31
28Ago15,10482.15
31Ago15,10340.49
01Set15,10202.09
02Set15,10192.64
03Set15,10176.45
04Set15,10089.1
07Set15,10114.14
08Set15,10166.4
09Set15,10137.63
10Set15,10263.7
11Set15,10312.36
14Set15,10266.07
15Set15,10224.84
16Set15,10316.28
17Set15,10306.67
18Set15,10277.18
21Set15,10279.45
22Set15,10102.38
23Set15,10046.98
24Set15,9982.91
25Set15,9989.42
28Set15,9838.02
29Set15,9894.19
30Set15,10030.57
01Oct15,10114.65
02Oct15,10072.65
05Oct15,10407.1
06Oct15,10499.67
07Oct15,10574.8
08Oct15,10574.8
09Oct15,10574.8
12Oct15,10613.2
13Oct15,10650.28
14Oct15,10759.6
15Oct15,10756.43
16Oct15,10646.02
19Oct15,10597.33
20Oct15,10629.21
21Oct15,10571.31
22Oct15,10650.8
23Oct15,10796.67
26Oct15,10781.89
27Oct15,10680.11
28Oct15,10691.86
29Oct15,10590.36
30Oct15,10545.61
02Nov15,10545.41
03Nov15,10624.49
04Nov15,10617.96
05Nov15,10584.78
06Nov15,10577.13
09Nov15,10550.59
10Nov15,10463.91
11Nov15,10538.01
12Nov15,10482.89
13Nov15,10406.57
16Nov15,10368.93
17Nov15,10334.01
18Nov15,10313.44
19Nov15,10424.29
20Nov15,10413.44
23Nov15,10422.11
24Nov15,10458.09
25Nov15,10378.56
26Nov15,10377.4
