"","PD38026MD"
"","Indicadores bursátiles - Índice General Bursátil BVL (índice)"
15Feb07,14586.89
16Feb07,14560.41
19Feb07,14645.3
20Feb07,14694.83
21Feb07,14935.52
22Feb07,15261.73
23Feb07,15513.22
26Feb07,15605.9
27Feb07,15280.51
28Feb07,15150.74
01Mar07,15266.96
02Mar07,15238.18
05Mar07,15020.61
06Mar07,15260.07
07Mar07,15529.88
08Mar07,15760.21
09Mar07,15685.08
12Mar07,15868.66
13Mar07,15837.03
14Mar07,15706.2
15Mar07,15920.27
16Mar07,15911.79
19Mar07,16141.99
20Mar07,16204.45
21Mar07,16183.17
22Mar07,16265.79
23Mar07,16338.86
26Mar07,16470.48
27Mar07,16572.57
28Mar07,16762.79
29Mar07,17019.05
30Mar07,17152.82
02Abr07,17520.63
03Abr07,17911.83
04Abr07,18141.31
05Abr07,18141.31
06Abr07,18141.31
09Abr07,18441.19
10Abr07,18946.15
11Abr07,18848.86
12Abr07,19041.61
13Abr07,19412.29
16Abr07,19924.33
17Abr07,20467.79
18Abr07,20661.38
19Abr07,20454.23
20Abr07,20656.68
23Abr07,20729.65
24Abr07,20752.13
25Abr07,20703.38
26Abr07,20692.03
27Abr07,20781.77
30Abr07,20674.78
01May07,20674.78
02May07,20699.92
03May07,20945.94
04May07,21476.45
07May07,22166.68
08May07,22493.97
09May07,22995.09
10May07,22969.65
11May07,22964.42
14May07,22303.35
15May07,22171.89
16May07,21556.22
17May07,21473.47
18May07,21971.16
21May07,22076.12
22May07,21559.5
23May07,21757.18
24May07,21328.24
25May07,21248.31
28May07,20741.58
29May07,20066.77
30May07,18543.82
31May07,20129.5
01Jun07,20732.66
04Jun07,20913.05
05Jun07,21340.54
06Jun07,21058.97
07Jun07,20880.33
08Jun07,20789.75
11Jun07,21061.54
12Jun07,21054.97
13Jun07,21493.99
14Jun07,21926.54
15Jun07,22160.68
18Jun07,22192.02
19Jun07,22190.02
20Jun07,22153.86
21Jun07,22096.56
22Jun07,22140.53
25Jun07,22268.03
26Jun07,22213.99
27Jun07,22191.94
28Jun07,22365.9
29Jun07,22365.9
02Jul07,22608.17
03Jul07,22591.51
04Jul07,22754.15
05Jul07,22857.46
06Jul07,22936.07
09Jul07,23073.84
10Jul07,22845.48
11Jul07,22927.77
12Jul07,23211.65
13Jul07,23535.09
16Jul07,23726.57
17Jul07,23695.81
18Jul07,23578.92
19Jul07,23624
20Jul07,23633.15
23Jul07,23628.24
24Jul07,23789.75
25Jul07,23623.87
26Jul07,23261.16
27Jul07,23178.21
30Jul07,23145.93
31Jul07,23418.17
01Ago07,23057.97
02Ago07,23043.56
03Ago07,22950.22
06Ago07,22561.91
07Ago07,22785.72
08Ago07,23055.91
09Ago07,22643.92
10Ago07,22217.08
13Ago07,22283.74
14Ago07,21627.25
15Ago07,20997.85
16Ago07,19550.35
17Ago07,20652.97
20Ago07,20438.69
21Ago07,20545.27
22Ago07,21124.14
23Ago07,20970.59
24Ago07,21051.48
