Date,Open,High,Low,Close
05/02/2006,"947.80","952.29","947.17","951.25"
04/28/2006,"947.64","950.03","944.92","949.23"
04/27/2006,"949.48","952.54","945.89","947.61"
04/26/2006,"944.92","949.74","944.92","949.29"
04/25/2006,"944.19","945.54","941.62","944.09"
04/24/2006,"948.34","950.95","942.73","943.36"
04/21/2006,"946.76","950.44","946.74","948.19"
04/20/2006,"945.94","948.04","943.36","946.62"
04/19/2006,"941.07","945.97","941.07","945.97"
04/18/2006,"940.65","942.14","938.09","940.57"
04/17/2006,"939.77","941.48","936.44","939.74"
04/14/2006,"937.78","939.56","935.95","938.32"
04/13/2006,"941.88","942.41","935.20","936.24"
04/12/2006,"941.53","942.18","936.96","941.88"
04/10/2006,"944.00","946.47","939.05","942.47"
04/07/2006,"940.70","943.71","938.37","943.71"
04/06/2006,"941.64","943.71","936.75","941.06"
04/05/2006,"931.92","941.67","931.92","941.67"
04/04/2006,"927.90","931.17","926.51","931.17"
04/03/2006,"926.63","929.40","926.26","928.23"
03/31/2006,"927.29","930.27","923.25","926.63"
03/30/2006,"933.29","934.53","924.92","926.97"
03/29/2006,"932.59","934.19","930.82","932.98"
03/28/2006,"928.57","932.83","928.57","932.83"
03/27/2006,"926.49","928.48","924.70","928.48"
03/24/2006,"924.67","928.91","924.57","926.09"
03/23/2006,"922.64","926.05","922.51","925.11"
03/22/2006,"921.68","925.02","921.14","921.94"
03/21/2006,"921.57","924.73","921.40","923.13"
03/20/2006,"922.53","924.79","920.87","923.02"
03/17/2006,"924.63","925.90","920.91","922.62"
03/16/2006,"924.59","926.69","920.87","923.15"
03/15/2006,"924.88","927.03","923.22","924.24"
03/14/2006,"923.51","925.96","923.29","924.37"
03/13/2006,"923.12","926.67","922.03","922.03"
03/10/2006,"921.13","925.15","920.52","921.96"
03/09/2006,"912.81","920.91","912.79","920.91"
03/08/2006,"914.65","914.79","910.80","913.53"
03/07/2006,"915.96","919.29","913.17","915.21"
03/06/2006,"916.74","918.43","913.47","914.92"
03/03/2006,"920.12","922.34","916.35","916.93"
03/02/2006,"921.30","923.73","916.70","919.78"
03/01/2006,"926.78","926.78","921.18","921.56"
02/28/2006,"930.76","931.15","925.94","928.94"
02/27/2006,"924.92","928.82","924.92","928.66"
02/24/2006,"927.49","928.87","922.99","924.91"
02/23/2006,"924.95","927.51","924.32","927.51"
02/22/2006,"926.10","927.70","923.92","924.40"
02/21/2006,"924.08","927.68","922.69","925.67"
02/20/2006,"927.95","928.89","923.71","925.18"
02/17/2006,"928.60","929.70","925.39","926.47"
02/16/2006,"927.23","931.01","926.50","928.10"
02/15/2006,"925.82","931.10","923.55","927.17"
02/14/2006,"923.13","925.51","922.25","925.51"
02/13/2006,"923.24","926.17","921.37","922.77"
02/10/2006,"920.42","923.85","919.68","920.31"
02/09/2006,"919.44","923.13","918.98","920.63"
02/08/2006,"923.89","924.45","915.86","918.92"
02/07/2006,"929.85","930.65","920.12","923.84"
02/06/2006,"928.38","931.00","925.86","929.39"
02/03/2006,"915.61","927.85","915.61","927.85"
01/27/2006,"912.69","915.80","911.79","914.01"
01/26/2006,"910.17","913.14","909.70","913.14"
01/25/2006,"906.62","912.28","906.60","909.77"
01/24/2006,"903.53","908.93","903.53","906.98"
01/23/2006,"903.40","904.59","898.61","902.51"
01/20/2006,"904.19","907.43","902.96","905.41"
01/19/2006,"902.29","906.95","902.23","902.70"
01/18/2006,"902.28","907.38","900.40","901.32"
01/17/2006,"906.44","911.03","905.79","907.52"
01/16/2006,"911.81","913.18","905.60","906.53"
01/13/2006,"910.83","914.29","908.58","911.90"
01/12/2006,"910.48","916.96","910.41","911.16"
01/11/2006,"913.16","915.14","908.66","909.59"
01/09/2006,"913.65","916.00","912.40","913.80"
01/06/2006,"906.60","912.07","906.60","911.67"
01/05/2006,"897.34","908.71","897.34","906.66"
01/04/2006,"893.09","897.88","892.63","897.13"
01/03/2006,"899.18","899.85","891.04","892.85"
12/30/2005,"899.04","902.56","895.84","899.79"
12/29/2005,"895.24","900.49","894.48","900.49"
12/28/2005,"892.82","896.11","892.30","895.55"
12/27/2005,"892.46","894.51","891.06","894.51"
12/23/2005,"891.64","893.57","890.09","892.13"
12/22/2005,"894.67","895.85","890.40","895.85"
12/21/2005,"895.79","898.37","892.85","894.65"
12/20/2005,"895.15","897.03","893.42","896.08"
12/19/2005,"893.60","896.34","893.55","895.86"
12/16/2005,"895.15","895.96","890.47","893.37"
12/15/2005,"898.85","900.65","893.96","894.98"
12/14/2005,"898.78","901.48","897.48","898.80"
12/13/2005,"898.06","901.59","898.06","898.27"
12/12/2005,"898.41","900.75","895.51","897.01"
12/09/2005,"895.94","899.06","895.10","898.30"
12/08/2005,"891.77","896.20","891.77","896.11"
12/07/2005,"885.78","894.04","885.69","891.67"
12/06/2005,"885.27","887.15","884.88","886.47"
