Date,Open,High,Low,Close
08/10/2020,"1,571.66","1,571.66","1,571.66","1,571.66"
08/07/2020,"1,578.14","1,578.14","1,578.14","1,578.14"
08/06/2020,"1,588.57","1,588.57","1,588.57","1,588.57"
08/05/2020,"1,568.13","1,568.13","1,568.13","1,568.13"
08/04/2020,"1,575.94","1,575.94","1,575.94","1,575.94"
08/03/2020,"1,572.61","1,572.61","1,572.61","1,572.61"
07/30/2020,"1,603.75","1,603.75","1,603.75","1,603.75"
07/29/2020,"1,611.42","1,611.42","1,611.42","1,611.42"
07/28/2020,"1,609.94","1,609.94","1,609.94","1,609.94"
07/27/2020,"1,591.48","1,591.48","1,591.48","1,591.48"
07/24/2020,"1,589.61","1,589.61","1,589.61","1,589.61"
07/23/2020,"1,606.42","1,606.42","1,606.42","1,606.42"
07/22/2020,"1,586.98","1,586.98","1,586.98","1,586.98"
07/21/2020,"1,595.93","1,595.93","1,595.93","1,595.93"
07/20/2020,"1,589.45","1,589.45","1,589.45","1,589.45"
07/17/2020,"1,596.33","1,596.33","1,596.33","1,596.33"
07/16/2020,"1,573.31","1,573.31","1,573.31","1,573.31"
07/15/2020,"1,585.56","1,585.56","1,585.56","1,585.56"
07/14/2020,"1,598.75","1,598.75","1,598.75","1,598.75"
07/13/2020,"1,606.43","1,606.43","1,606.43","1,606.43"
07/10/2020,"1,591.84","1,591.84","1,591.84","1,591.84"
07/09/2020,"1,583.25","1,583.25","1,583.25","1,583.25"
07/08/2020,"1,583.50","1,583.50","1,583.50","1,583.50"
07/07/2020,"1,566.72","1,566.72","1,566.72","1,566.72"
07/06/2020,"1,576.90","1,576.90","1,576.90","1,576.90"
07/03/2020,"1,552.65","1,552.65","1,552.65","1,552.65"
07/02/2020,"1,536.28","1,536.28","1,536.28","1,536.28"
07/01/2020,"1,514.43","1,514.43","1,514.43","1,514.43"
06/30/2020,"1,500.97","1,500.97","1,500.97","1,500.97"
06/29/2020,"1,494.43","1,494.43","1,494.43","1,494.43"
06/26/2020,"1,488.14","1,488.14","1,488.14","1,488.14"
06/25/2020,"1,489.20","1,489.20","1,489.20","1,489.20"
06/24/2020,"1,502.63","1,502.63","1,502.63","1,502.63"
06/23/2020,"1,507.04","1,507.04","1,507.04","1,507.04"
06/22/2020,"1,511.24","1,511.24","1,511.24","1,511.24"
06/19/2020,"1,507.26","1,507.26","1,507.26","1,507.26"
06/18/2020,"1,504.91","1,504.91","1,504.91","1,504.91"
06/17/2020,"1,526.32","1,526.32","1,526.32","1,526.32"
