Date,Open,High,Low,Close
08/14/2017,"1,771.08","1,771.08","1,771.08","1,771.08"
08/11/2017,"1,766.96","1,766.96","1,766.96","1,766.96"
08/10/2017,"1,777.77","1,777.77","1,777.77","1,777.77"
08/09/2017,"1,777.94","1,777.94","1,777.94","1,777.94"
08/08/2017,"1,781.65","1,781.65","1,781.65","1,781.65"
08/07/2017,"1,777.91","1,777.91","1,777.91","1,777.91"
08/04/2017,"1,774.53","1,774.53","1,774.53","1,774.53"
08/03/2017,"1,771.90","1,771.90","1,771.90","1,771.90"
08/02/2017,"1,770.61","1,770.61","1,770.61","1,770.61"
08/01/2017,"1,765.13","1,765.13","1,765.13","1,765.13"
07/31/2017,"1,760.03","1,760.03","1,760.03","1,760.03"
07/28/2017,"1,767.08","1,767.08","1,767.08","1,767.08"
07/27/2017,"1,770.07","1,770.07","1,770.07","1,770.07"
07/26/2017,"1,766.00","1,766.00","1,766.00","1,766.00"
07/25/2017,"1,763.34","1,763.34","1,763.34","1,763.34"
07/24/2017,"1,761.99","1,761.99","1,761.99","1,761.99"
07/21/2017,"1,759.16","1,759.16","1,759.16","1,759.16"
07/20/2017,"1,755.63","1,755.63","1,755.63","1,755.63"
07/19/2017,"1,757.27","1,757.27","1,757.27","1,757.27"
07/18/2017,"1,754.92","1,754.92","1,754.92","1,754.92"
07/17/2017,"1,755.19","1,755.19","1,755.19","1,755.19"
07/14/2017,"1,755.00","1,755.00","1,755.00","1,755.00"
07/13/2017,"1,753.78","1,753.78","1,753.78","1,753.78"
07/12/2017,"1,757.24","1,757.24","1,757.24","1,757.24"
07/11/2017,"1,755.03","1,755.03","1,755.03","1,755.03"
07/10/2017,"1,757.13","1,757.13","1,757.13","1,757.13"
07/07/2017,"1,759.93","1,759.93","1,759.93","1,759.93"
07/06/2017,"1,770.53","1,770.53","1,770.53","1,770.53"
07/05/2017,"1,768.16","1,768.16","1,768.16","1,768.16"
07/04/2017,"1,762.08","1,762.08","1,762.08","1,762.08"
07/03/2017,"1,768.67","1,768.67","1,768.67","1,768.67"
06/30/2017,"1,763.67","1,763.67","1,763.67","1,763.67"
06/29/2017,"1,771.36","1,771.36","1,771.36","1,771.36"
06/28/2017,"1,771.23","1,771.23","1,771.23","1,771.23"
06/27/2017,"1,779.45","1,779.45","1,779.45","1,779.45"
06/26/2017,"1,779.45","1,779.45","1,779.45","1,779.45"
06/23/2017,"1,779.45","1,779.45","1,779.45","1,779.45"
06/22/2017,"1,777.43","1,777.43","1,777.43","1,777.43"
06/21/2017,"1,775.57","1,775.57","1,775.57","1,775.57"
06/20/2017,"1,780.71","1,780.71","1,780.71","1,780.71"
06/19/2017,"1,788.90","1,788.90","1,788.90","1,788.90"
06/16/2017,"1,791.31","1,791.31","1,791.31","1,791.31"
06/15/2017,"1,790.01","1,790.01","1,790.01","1,790.01"
06/14/2017,"1,792.35","1,792.35","1,792.35","1,792.35"
06/13/2017,"1,784.44","1,784.44","1,784.44","1,784.44"
06/12/2017,"1,788.89","1,788.89","1,788.89","1,788.89"
06/09/2017,"1,788.89","1,788.89","1,788.89","1,788.89"
06/08/2017,"1,785.57","1,785.57","1,785.57","1,785.57"
06/07/2017,"1,785.92","1,785.92","1,785.92","1,785.92"
06/06/2017,"1,791.01","1,791.01","1,791.01","1,791.01"
06/05/2017,"1,787.95","1,787.95","1,787.95","1,787.95"
06/02/2017,"1,776.95","1,776.95","1,776.95","1,776.95"
06/01/2017,"1,763.11","1,763.11","1,763.11","1,763.11"
05/31/2017,"1,765.87","1,765.87","1,765.87","1,765.87"
05/30/2017,"1,765.34","1,765.34","1,765.34","1,765.34"
05/29/2017,"1,764.89","1,764.89","1,764.89","1,764.89"
05/26/2017,"1,772.30","1,772.30","1,772.30","1,772.30"
05/25/2017,"1,773.96","1,773.96","1,773.96","1,773.96"
05/24/2017,"1,771.01","1,771.01","1,771.01","1,771.01"
05/23/2017,"1,767.17","1,767.17","1,767.17","1,767.17"
05/22/2017,"1,774.95","1,774.95","1,774.95","1,774.95"
05/19/2017,"1,768.28","1,768.28","1,768.28","1,768.28"
05/18/2017,"1,767.17","1,767.17","1,767.17","1,767.17"
05/17/2017,"1,775.65","1,775.65","1,775.65","1,775.65"
05/16/2017,"1,778.15","1,778.15","1,778.15","1,778.15"
05/15/2017,"1,778.65","1,778.65","1,778.65","1,778.65"
05/12/2017,"1,775.87","1,775.87","1,775.87","1,775.87"
05/11/2017,"1,775.39","1,775.39","1,775.39","1,775.39"
05/10/2017,"1,766.56","1,766.56","1,766.56","1,766.56"
05/09/2017,"1,766.56","1,766.56","1,766.56","1,766.56"
05/08/2017,"1,768.15","1,768.15","1,768.15","1,768.15"
05/05/2017,"1,762.74","1,762.74","1,762.74","1,762.74"
05/04/2017,"1,758.67","1,758.67","1,758.67","1,758.67"
05/03/2017,"1,772.51","1,772.51","1,772.51","1,772.51"
05/02/2017,"1,778.47","1,778.47","1,778.47","1,778.47"
05/01/2017,"1,768.06","1,768.06","1,768.06","1,768.06"
04/28/2017,"1,768.06","1,768.06","1,768.06","1,768.06"
04/27/2017,"1,767.92","1,767.92","1,767.92","1,767.92"
04/26/2017,"1,768.92","1,768.92","1,768.92","1,768.92"
04/25/2017,"1,765.80","1,765.80","1,765.80","1,765.80"
04/24/2017,"1,756.05","1,756.05","1,756.05","1,756.05"
04/21/2017,"1,756.05","1,756.05","1,756.05","1,756.05"
04/20/2017,"1,741.61","1,741.61","1,741.61","1,741.61"
04/19/2017,"1,738.95","1,738.95","1,738.95","1,738.95"
04/18/2017,"1,740.60","1,740.60","1,740.60","1,740.60"
04/17/2017,"1,733.93","1,733.93","1,733.93","1,733.93"
04/14/2017,"1,730.99","1,730.99","1,730.99","1,730.99"
04/13/2017,"1,738.18","1,738.18","1,738.18","1,738.18"
04/12/2017,"1,744.08","1,744.08","1,744.08","1,744.08"
04/11/2017,"1,735.84","1,735.84","1,735.84","1,735.84"
04/10/2017,"1,739.52","1,739.52","1,739.52","1,739.52"
04/07/2017,"1,741.72","1,741.72","1,741.72","1,741.72"
04/06/2017,"1,739.56","1,739.56","1,739.56","1,739.56"
04/05/2017,"1,744.67","1,744.67","1,744.67","1,744.67"
04/04/2017,"1,747.19","1,747.19","1,747.19","1,747.19"
04/03/2017,"1,745.49","1,745.49","1,745.49","1,745.49"
03/31/2017,"1,740.09","1,740.09","1,740.09","1,740.09"
03/30/2017,"1,749.25","1,749.25","1,749.25","1,749.25"
03/29/2017,"1,750.41","1,750.41","1,750.41","1,750.41"
03/28/2017,"1,754.42","1,754.42","1,754.42","1,754.42"
03/27/2017,"1,744.95","1,744.95","1,744.95","1,744.95"
03/24/2017,"1,745.75","1,745.75","1,745.75","1,745.75"
03/23/2017,"1,747.00","1,747.00","1,747.00","1,747.00"
03/22/2017,"1,748.30","1,748.30","1,748.30","1,748.30"
03/21/2017,"1,754.67","1,754.67","1,754.67","1,754.67"
03/20/2017,"1,749.41","1,749.41","1,749.41","1,749.41"
03/17/2017,"1,745.20","1,745.20","1,745.20","1,745.20"
03/16/2017,"1,737.14","1,737.14","1,737.14","1,737.14"
03/15/2017,"1,717.36","1,717.36","1,717.36","1,717.36"
03/14/2017,"1,722.47","1,722.47","1,722.47","1,722.47"
03/13/2017,"1,721.92","1,721.92","1,721.92","1,721.92"
03/10/2017,"1,717.58","1,717.58","1,717.58","1,717.58"
