Date,Open,High,Low,Close
05/03/2005,"892.03","892.03","892.03","892.03"
04/29/2005,"873.73","880.56","873.73","878.96"
04/28/2005,"872.76","877.84","872.76","873.85"
04/27/2005,"872.65","874.84","870.19","872.45"
04/26/2005,"871.89","874.19","871.25","872.43"
04/25/2005,"877.29","877.29","871.39","871.98"
04/22/2005,"876.92","879.67","875.62","877.78"
04/20/2005,"868.19","874.51","868.19","871.91"
04/19/2005,"866.87","872.16","866.87","867.77"
04/18/2005,"871.85","872.70","863.93","866.66"
04/15/2005,"877.56","880.07","874.25","874.25"
04/14/2005,"873.74","879.77","873.71","877.23"
04/13/2005,"867.18","874.60","867.10","874.23"
04/12/2005,"868.68","871.53","866.24","866.24"
04/11/2005,"864.39","871.71","863.90","869.93"
04/08/2005,"862.47","869.81","862.46","864.02"
04/07/2005,"860.45","866.05","859.81","861.52"
04/06/2005,"869.68","870.08","859.94","861.75"
04/05/2005,"866.62","871.51","866.58","869.81"
04/04/2005,"874.34","875.51","864.45","867.23"
04/01/2005,"873.43","878.72","872.94","875.92"
03/31/2005,"879.00","881.17","870.44","871.35"
03/30/2005,"881.38","881.86","876.40","877.75"
03/29/2005,"885.29","887.02","877.98","881.87"
03/28/2005,"883.40","886.98","883.40","885.44"
03/25/2005,"882.57","884.56","881.90","883.40"
03/24/2005,"881.25","885.68","879.55","882.39"
03/23/2005,"872.15","882.56","870.81","881.25"
03/22/2005,"884.83","886.05","876.65","878.63"
03/21/2005,"893.96","895.29","883.87","885.62"
03/18/2005,"899.15","899.97","890.61","894.00"
03/17/2005,"897.82","899.47","896.03","899.26"
03/16/2005,"895.55","899.52","894.74","897.51"
03/15/2005,"901.65","902.99","896.62","898.20"
03/14/2005,"901.07","902.96","899.18","901.64"
03/11/2005,"899.01","901.57","898.26","901.45"
03/10/2005,"902.87","902.94","896.73","899.32"
03/09/2005,"898.44","903.62","896.76","903.62"
03/08/2005,"892.69","898.67","892.63","897.50"
03/07/2005,"887.24","892.47","887.24","891.18"
03/04/2005,"889.70","892.15","885.33","885.33"
03/03/2005,"892.41","896.49","889.44","889.44"
03/02/2005,"899.09","900.37","891.65","891.90"
03/01/2005,"904.92","906.22","894.57","898.49"
02/28/2005,"905.06","907.38","903.41","907.38"
02/25/2005,"904.12","907.42","903.34","903.51"
02/24/2005,"900.78","906.16","900.78","903.64"
02/23/2005,"903.32","903.32","896.02","899.68"
02/22/2005,"903.80","906.43","900.96","904.75"
02/21/2005,"908.79","909.96","903.31","904.72"
02/18/2005,"912.61","912.61","905.80","907.75"
02/17/2005,"919.48","920.81","912.62","912.62"
02/16/2005,"920.71","922.11","917.14","919.43"
02/15/2005,"919.37","921.71","916.64","921.71"
02/14/2005,"915.23","920.99","915.17","920.31"
02/08/2005,"911.87","914.95","911.57","914.91"
02/07/2005,"908.83","912.65","908.23","912.58"
02/04/2005,"917.05","917.05","907.52","907.52"
02/03/2005,"916.28","919.48","914.30","917.85"
02/02/2005,"917.80","920.03","913.74","918.51"
01/31/2005,"915.41","919.39","913.37","916.27"
01/28/2005,"918.97","918.98","912.77","917.23"
01/27/2005,"923.80","924.16","916.73","919.95"
01/26/2005,"920.86","923.85","920.06","923.37"
01/25/2005,"921.87","925.49","917.99","919.75"
01/24/2005,"926.65","926.65","919.30","923.33"
01/20/2005,"936.80","936.97","926.94","929.72"
01/19/2005,"940.21","940.94","934.99","935.53"
01/18/2005,"932.50","937.56","931.60","937.56"
01/17/2005,"929.42","935.17","929.19","932.26"
01/14/2005,"932.83","933.09","926.64","929.74"
01/13/2005,"934.01","935.33","929.36","934.10"
01/12/2005,"931.27","933.33","933.33","933.33"
01/11/2005,"919.96","930.63","930.63","930.63"
01/10/2005,"917.42","919.73","915.80","919.02"
01/07/2005,"910.90","918.56","909.84","916.28"
01/06/2005,"907.95","912.08","907.01","910.42"
01/05/2005,"901.70","908.86","901.70","907.96"
01/04/2005,"900.68","904.44","897.77","902.49"
01/03/2005,"907.02","907.02","897.13","903.84"
12/31/2004,"909.95","911.70","901.15","907.43"
12/30/2004,"907.49","910.13","905.31","910.13"
12/29/2004,"906.97","908.66","905.72","907.58"
12/28/2004,"906.83","907.71","903.58","906.55"
12/27/2004,"906.20","907.47","901.12","906.89"
12/24/2004,"908.43","908.43","904.63","907.20"
12/23/2004,"903.72","909.30","903.71","909.30"
12/22/2004,"906.60","908.67","903.30","903.30"
12/21/2004,"908.37","909.94","904.66","906.50"
12/20/2004,"902.22","910.04","901.63","909.61"
12/17/2004,"902.39","904.58","901.44","903.00"
12/16/2004,"904.91","906.31","902.62","904.29"
12/15/2004,"897.27","904.76","897.27","904.76"
12/14/2004,"897.85","899.86","896.68","897.02"
12/13/2004,"894.67","897.68","892.83","897.34"
12/10/2004,"895.41","900.12","888.97","894.23"
12/09/2004,"901.86","905.05","893.48","894.98"
12/08/2004,"909.63","909.63","898.91","902.30"
12/07/2004,"915.47","915.64","907.98","912.41"
12/06/2004,"917.43","917.88","912.38","916.36"
12/03/2004,"919.95","920.56","914.61","917.17"
12/02/2004,"918.89","920.57","915.21","919.97"
12/01/2004,"916.11","914.62","914.62","914.62"
11/30/2004,"915.76","917.19","917.19","917.19"
11/29/2004,"909.37","915.90","915.90","915.90"
11/26/2004,"905.63","908.78","908.78","908.78"
11/25/2004,"910.63","905.22","905.22","905.22"
11/24/2004,"912.11","910.86","910.86","910.86"
11/23/2004,"896.34","909.38","909.38","909.38"
11/22/2004,"897.11","895.94","895.94","895.94"
11/19/2004,"904.65","897.03","897.03","897.03"
11/18/2004,"910.61","904.48","904.48","904.48"
11/17/2004,"885.53","901.66","901.66","901.66"
11/10/2004,"877.98","883.61","877.98","882.29"
11/09/2004,"872.20","876.37","876.37","876.37"
11/08/2004,"871.61","872.89","872.89","872.89"
11/05/2004,"873.61","871.48","871.48","871.48"
11/04/2004,"878.37","872.02","872.02","872.02"
11/03/2004,"874.53","878.45","878.45","878.45"
11/02/2004,"864.13","874.17","874.17","874.17"
11/01/2004,"860.09","864.04","864.04","864.04"
10/29/2004,"853.07","861.14","861.14","861.14"
10/28/2004,"849.34","852.99","852.99","852.99"
10/27/2004,"851.85","851.17","851.17","851.17"
10/26/2004,"851.46","851.55","851.55","851.55"
10/25/2004,"853.71","850.95","850.95","850.95"
10/22/2004,"850.12","853.88","853.88","853.88"
10/21/2004,"848.60","849.21","849.21","849.21"
10/20/2004,"851.04","848.65","848.65","848.65"
10/19/2004,"852.09","851.74","851.74","851.74"
10/18/2004,"851.65","851.69","851.69","851.69"
10/15/2004,"851.80","851.29","851.29","851.29"
10/14/2004,"852.36","852.16","852.16","852.16"
10/13/2004,"853.31","853.31","853.31","853.31"
10/12/2004,"853.59","852.80","852.80","852.80"
10/11/2004,"860.87","855.10","855.10","855.10"
10/08/2004,"864.02","861.08","861.08","861.08"
10/07/2004,"862.49","864.16","864.16","864.16"
