Date,Open,High,Low,Close
08/28/2006,"950.61","953.83","950.21","950.96"
08/25/2006,"948.90","951.96","947.99","950.52"
08/24/2006,"949.54","950.25","945.69","948.13"
08/23/2006,"945.03","948.26","943.97","948.26"
08/22/2006,"943.41","949.11","943.37","945.02"
08/21/2006,"941.49","943.87","940.71","942.61"
08/18/2006,"942.08","944.71","940.86","942.00"
08/17/2006,"938.32","944.17","938.32","942.08"
08/16/2006,"944.54","946.06","937.98","937.98"
08/15/2006,"945.56","946.52","943.25","943.94"
08/14/2006,"942.88","947.22","942.78","946.00"
08/11/2006,"942.57","946.21","942.27","942.27"
08/10/2006,"941.49","942.99","939.48","942.99"
08/09/2006,"939.57","943.20","939.56","941.26"
08/08/2006,"938.23","939.87","936.91","939.08"
08/07/2006,"939.03","942.22","937.44","938.48"
08/04/2006,"935.09","938.78","934.63","937.99"
08/03/2006,"934.34","937.42","933.79","935.29"
08/02/2006,"936.40","938.89","932.89","934.07"
08/01/2006,"935.41","938.21","932.96","936.04"
07/31/2006,"935.31","939.46","935.31","935.85"
07/28/2006,"937.56","938.85","932.41","934.72"
07/27/2006,"934.52","937.33","932.64","936.76"
07/26/2006,"928.53","934.34","928.53","934.34"
07/25/2006,"923.77","931.85","923.77","928.05"
07/24/2006,"924.44","925.62","921.17","922.34"
07/21/2006,"918.38","924.72","918.38","924.72"
07/20/2006,"913.23","920.72","913.23","916.62"
07/19/2006,"908.93","913.78","908.93","911.98"
07/18/2006,"902.72","912.17","902.72","908.68"
07/17/2006,"912.02","912.02","899.23","902.70"
07/14/2006,"925.49","925.89","913.63","913.63"
07/13/2006,"928.46","928.89","924.85","926.55"
07/12/2006,"925.48","928.23","925.04","928.23"
07/11/2006,"926.31","928.05","924.60","924.60"
07/10/2006,"926.37","926.78","922.85","924.86"
07/07/2006,"921.50","926.45","920.76","925.56"
07/06/2006,"924.98","925.48","919.22","920.00"
07/05/2006,"925.06","927.70","922.98","924.89"
07/04/2006,"919.37","926.50","919.37","923.99"
07/03/2006,"914.61","919.57","914.43","919.14"
06/30/2006,"912.15","917.18","912.15","914.69"
06/29/2006,"907.10","912.22","907.10","910.54"
06/28/2006,"907.35","909.37","904.91","906.90"
06/27/2006,"904.80","909.20","904.80","907.76"
06/26/2006,"906.65","907.47","901.57","904.51"
06/23/2006,"900.33","906.34","900.33","906.34"
06/22/2006,"894.79","904.56","894.79","900.47"
06/21/2006,"891.48","897.18","891.12","894.66"
06/20/2006,"885.84","892.13","885.84","889.99"
06/19/2006,"895.14","896.58","886.29","889.51"
06/16/2006,"889.07","897.38","889.07","893.50"
06/15/2006,"895.29","900.55","883.29","886.48"
06/14/2006,"902.00","902.56","892.89","893.23"
06/13/2006,"915.45","916.03","902.02","903.63"
06/12/2006,"916.01","918.51","914.30","916.70"
06/09/2006,"917.04","920.58","915.18","915.40"
06/08/2006,"922.87","925.60","914.37","917.25"
06/07/2006,"926.65","929.92","922.55","923.57"
06/06/2006,"930.56","930.56","924.06","925.49"
06/05/2006,"931.20","935.35","930.26","931.90"
06/02/2006,"930.08","935.39","930.08","930.72"
06/01/2006,"927.65","932.56","927.65","930.45"
05/31/2006,"927.89","928.14","919.37","927.78"
05/30/2006,"928.21","930.26","927.37","929.89"
05/29/2006,"931.11","932.49","926.97","928.37"
05/26/2006,"925.85","933.84","925.85","930.75"
05/25/2006,"934.65","934.83","923.67","923.97"
05/24/2006,"927.25","934.36","923.95","927.75"
05/23/2006,"924.69","928.00","919.04","926.56"
05/22/2006,"944.25","945.88","923.68","925.51"
05/19/2006,"947.88","948.29","942.26","944.40"
05/18/2006,"953.10","953.10","944.24","947.78"
05/17/2006,"960.23","964.02","957.20","958.40"
05/16/2006,"963.67","963.67","950.15","959.94"
05/15/2006,"963.13","964.62","958.20","964.62"
05/11/2006,"965.32","968.27","964.02","966.05"
05/10/2006,"967.53","968.81","961.69","966.62"
05/09/2006,"966.27","970.46","962.89","966.88"
05/08/2006,"962.45","970.02","962.45","965.90"
05/05/2006,"955.08","962.38","955.08","961.38"
05/04/2006,"950.32","954.16","949.98","954.16"
05/03/2006,"950.99","954.04","948.65","950.23"
05/02/2006,"947.80","952.29","947.17","951.25"
