Date,Open,High,Low,Close
08/13/2018,"1,783.34","1,783.34","1,783.34","1,783.34"
08/10/2018,"1,805.75","1,805.75","1,805.75","1,805.75"
08/09/2018,"1,804.95","1,804.95","1,804.95","1,804.95"
08/08/2018,"1,804.73","1,804.73","1,804.73","1,804.73"
08/07/2018,"1,791.09","1,791.09","1,791.09","1,791.09"
08/06/2018,"1,779.75","1,779.75","1,779.75","1,779.75"
08/03/2018,"1,780.09","1,780.09","1,780.09","1,780.09"
08/02/2018,"1,778.13","1,778.13","1,778.13","1,778.13"
08/01/2018,"1,788.31","1,788.31","1,788.31","1,788.31"
07/31/2018,"1,784.25","1,784.25","1,784.25","1,784.25"
07/30/2018,"1,770.26","1,770.26","1,770.26","1,770.26"
07/27/2018,"1,769.14","1,769.14","1,769.14","1,769.14"
07/26/2018,"1,766.23","1,766.23","1,766.23","1,766.23"
07/25/2018,"1,763.78","1,763.78","1,763.78","1,763.78"
07/24/2018,"1,762.93","1,762.93","1,762.93","1,762.93"
07/23/2018,"1,757.96","1,757.96","1,757.96","1,757.96"
07/20/2018,"1,754.67","1,754.67","1,754.67","1,754.67"
07/19/2018,"1,759.24","1,759.24","1,759.24","1,759.24"
07/18/2018,"1,753.07","1,753.07","1,753.07","1,753.07"
07/17/2018,"1,737.28","1,737.28","1,737.28","1,737.28"
07/16/2018,"1,726.67","1,726.67","1,726.67","1,726.67"
07/13/2018,"1,721.93","1,721.93","1,721.93","1,721.93"
07/12/2018,"1,703.57","1,703.57","1,703.57","1,703.57"
07/11/2018,"1,688.77","1,688.77","1,688.77","1,688.77"
07/10/2018,"1,687.13","1,687.13","1,687.13","1,687.13"
07/09/2018,"1,672.63","1,672.63","1,672.63","1,672.63"
07/06/2018,"1,663.86","1,663.86","1,663.86","1,663.86"
07/05/2018,"1,690.65","1,690.65","1,690.65","1,690.65"
07/04/2018,"1,688.45","1,688.45","1,688.45","1,688.45"
07/03/2018,"1,680.37","1,680.37","1,680.37","1,680.37"
07/02/2018,"1,685.05","1,685.05","1,685.05","1,685.05"
06/29/2018,"1,691.50","1,691.50","1,691.50","1,691.50"
06/28/2018,"1,665.68","1,665.68","1,665.68","1,665.68"
06/27/2018,"1,666.08","1,666.08","1,666.08","1,666.08"
06/26/2018,"1,675.86","1,675.86","1,675.86","1,675.86"
06/25/2018,"1,678.10","1,678.10","1,678.10","1,678.10"
06/22/2018,"1,694.15","1,694.15","1,694.15","1,694.15"
06/21/2018,"1,692.32","1,692.32","1,692.32","1,692.32"
06/20/2018,"1,709.75","1,709.75","1,709.75","1,709.75"
06/19/2018,"1,715.36","1,715.36","1,715.36","1,715.36"
06/18/2018,"1,743.43","1,743.43","1,743.43","1,743.43"
06/15/2018,"1,761.78","1,761.78","1,761.78","1,761.78"
06/14/2018,"1,761.78","1,761.78","1,761.78","1,761.78"
06/13/2018,"1,763.57","1,763.57","1,763.57","1,763.57"
06/12/2018,"1,764.16","1,764.16","1,764.16","1,764.16"
06/11/2018,"1,775.80","1,775.80","1,775.80","1,775.80"
06/08/2018,"1,778.32","1,778.32","1,778.32","1,778.32"
06/07/2018,"1,785.81","1,785.81","1,785.81","1,785.81"
06/06/2018,"1,777.13","1,777.13","1,777.13","1,777.13"
06/05/2018,"1,755.14","1,755.14","1,755.14","1,755.14"
06/04/2018,"1,755.17","1,755.17","1,755.17","1,755.17"
06/01/2018,"1,756.38","1,756.38","1,756.38","1,756.38"
05/31/2018,"1,740.62","1,740.62","1,740.62","1,740.62"
05/30/2018,"1,719.28","1,719.28","1,719.28","1,719.28"
05/29/2018,"1,775.84","1,775.84","1,775.84","1,775.84"
05/28/2018,"1,775.84","1,775.84","1,775.84","1,775.84"
05/25/2018,"1,797.40","1,797.40","1,797.40","1,797.40"
05/24/2018,"1,775.66","1,775.66","1,775.66","1,775.66"
05/23/2018,"1,804.25","1,804.25","1,804.25","1,804.25"
05/22/2018,"1,845.03","1,845.03","1,845.03","1,845.03"
05/21/2018,"1,853.58","1,853.58","1,853.58","1,853.58"
05/18/2018,"1,854.50","1,854.50","1,854.50","1,854.50"
05/17/2018,"1,854.44","1,854.44","1,854.44","1,854.44"
05/16/2018,"1,858.26","1,858.26","1,858.26","1,858.26"
05/15/2018,"1,848.20","1,848.20","1,848.20","1,848.20"
05/14/2018,"1,850.42","1,850.42","1,850.42","1,850.42"
05/11/2018,"1,846.51","1,846.51","1,846.51","1,846.51"
05/10/2018,"1,846.51","1,846.51","1,846.51","1,846.51"
05/09/2018,"1,846.51","1,846.51","1,846.51","1,846.51"
05/08/2018,"1,846.51","1,846.51","1,846.51","1,846.51"
05/07/2018,"1,828.20","1,828.20","1,828.20","1,828.20"
05/04/2018,"1,841.83","1,841.83","1,841.83","1,841.83"
05/03/2018,"1,851.80","1,851.80","1,851.80","1,851.80"
05/02/2018,"1,852.03","1,852.03","1,852.03","1,852.03"
05/01/2018,"1,870.37","1,870.37","1,870.37","1,870.37"
04/30/2018,"1,870.37","1,870.37","1,870.37","1,870.37"
04/27/2018,"1,863.47","1,863.47","1,863.47","1,863.47"
04/26/2018,"1,852.27","1,852.27","1,852.27","1,852.27"
04/25/2018,"1,851.93","1,851.93","1,851.93","1,851.93"
04/24/2018,"1,865.34","1,865.34","1,865.34","1,865.34"
04/23/2018,"1,880.36","1,880.36","1,880.36","1,880.36"
04/20/2018,"1,887.75","1,887.75","1,887.75","1,887.75"
04/19/2018,"1,895.18","1,895.18","1,895.18","1,895.18"
04/18/2018,"1,879.32","1,879.32","1,879.32","1,879.32"
04/17/2018,"1,880.49","1,880.49","1,880.49","1,880.49"
04/16/2018,"1,878.76","1,878.76","1,878.76","1,878.76"
04/13/2018,"1,868.47","1,868.47","1,868.47","1,868.47"
